"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-01-01 ~ 2026-06-21"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","대구광역시 북구 침산동","105-1","0105","0001","코오롱하늘채2단지","84.7990","202606","19","41,400","-","9","개인","개인","2006","중앙대로 591","-","직거래","-","-"
"2","대구광역시 중구 남산동","3030","3030","0000","남산자이하늘채","84.8948","202606","19","65,100","-","6","개인","개인","2022","명덕로 33","-","직거래","-","-"
"3","대구광역시 달서구 본리동","76-1","0076","0001","성당래미안e-편한세상2단지","84.9600","202606","19","33,400","-","7","개인","개인","2009","장기로 145","-","중개거래","대구 달서구","-"
"4","대구광역시 동구 각산동","383-1","0383","0001","안심효성타운","59.3200","202606","19","13,400","-","9","개인","개인","1995","경안로 809","-","중개거래","대구 동구","-"
"5","대구광역시 동구 검사동","756-452","0756","0452","효성그린밸리","84.8300","202606","19","21,500","-","9","개인","개인","2015","동촌로11길 35","-","중개거래","대구 동구","-"
"6","대구광역시 수성구 시지동","591","0591","0000","수성알파시티동화아이위시","84.9478","202606","19","86,500","-","18","개인","개인","2019","알파시티2로 48","-","중개거래","대구 수성구","-"
"7","대구광역시 남구 대명동","629-1","0629","0001","정우맨션","81.8180","202606","19","15,300","-","10","개인","개인","1979","현충로25길 71","-","중개거래","대구 남구","-"
"8","대구광역시 달성군 유가읍 봉리","627","0627","0000","반도유보라","70.0935","202606","19","20,700","-","16","개인","개인","2016","테크노대로 195","-","직거래","-","-"
"9","대구광역시 달서구 상인동","1600","1600","0000","상인역모아엘가파크뷰","72.9100","202606","19","30,000","-","2","개인","개인","2019","상화북로 162","20260619","중개거래","경기 남양주시","-"
"10","대구광역시 달서구 상인동","1600","1600","0000","상인역모아엘가파크뷰","72.9100","202606","19","30,000","-","2","개인","개인","2019","상화북로 162","-","중개거래","경기 남양주시","-"
"11","대구광역시 달성군 다사읍 매곡리","1538","1538","0000","대실역청아람2단지","109.6311","202606","18","46,900","-","8","개인","개인","2008","대실역북로 26","-","중개거래","대구 달성군","-"
"12","대구광역시 달서구 월성동","500-9","0500","0009","월성우방타운","84.9950","202606","18","21,000","-","13","개인","개인","1991","학산로2길 11","-","중개거래","대구 달서구","-"
"13","대구광역시 달성군 유가읍 봉리","660","0660","0000","예미지더센트럴","99.9052","202606","18","49,650","-","28","개인","개인","2023","테크노북로 260","-","중개거래","대구 달성군","-"
"14","대구광역시 달성군 다사읍 죽곡리","814","0814","0000","대실역태왕아너스","53.8894","202606","18","23,500","-","3","개인","개인","2017","대실역남로 11","-","중개거래","대구 달성군","-"
"15","대구광역시 북구 대현동","535","0535","0000","센트럴파크대현","39.6000","202606","18","12,193","-","6","개인","공공기관","2016","대현남로6길 20","-","직거래","-","-"
"16","대구광역시 북구 복현동","539-111","0539","0111","복현대백맨션","59.9400","202606","18","14,200","-","17","개인","개인","1996","복현로 137","-","중개거래","대구 북구","-"
"17","대구광역시 수성구 만촌동","1429","1429","0000","메트로팔레스3","117.9900","202606","18","50,800","-","8","개인","개인","2003","동원로 110","-","중개거래","대구 수성구","-"
"18","대구광역시 수성구 지산동","1234-1","1234","0001","지산2단지","59.5600","202606","18","16,750","-","3","개인","개인","1991","지산로 5","-","중개거래","대구 수성구","-"
"19","대구광역시 달서구 감삼동","704","0704","0000","죽전역동화아이위시","84.4714","202606","18","64,000","-","16","개인","개인","2022","와룡로 123","-","중개거래","대구 달서구, 대구 서구","-"
"20","대구광역시 달서구 이곡동","1189-2","1189","0002","성서동서서한","49.2600","202606","18","14,600","-","15","개인","개인","1994","선원로 100","-","중개거래","대구 달서구","-"
"21","대구광역시 북구 침산동","117-3","0117","0003","침산화성타운","85.0000","202606","18","25,000","-","10","개인","개인","1998","침산남로37길 5","-","중개거래","대구 북구","-"
"22","대구광역시 수성구 사월동","464","0464","0000","사월보성","59.9700","202606","18","14,700","-","1","개인","개인","1996","욱수천로 133","-","중개거래","대구 수성구","-"
"23","대구광역시 북구 대현동","535","0535","0000","센트럴파크대현","51.4200","202606","18","15,401","-","17","개인","공공기관","2016","대현남로6길 20","-","직거래","-","-"
"24","대구광역시 수성구 범어동","산103","0103","0000","장원맨션","121.3400","202606","18","123,000","-","12","개인","개인","1988","청호로 370","-","중개거래","대구 수성구","-"
"25","대구광역시 동구 봉무동","1537","1537","0000","협성휴포레이시아폴리스","84.9290","202606","18","39,000","-","10","개인","개인","2018","팔공로 260","-","중개거래","대구 동구","-"
"26","대구광역시 동구 불로동","1160","1160","0000","에덴공항1","49.9500","202606","17","11,950","-","1","개인","개인","1988","팔공로29길 10","-","중개거래","대구 동구","-"
"27","대구광역시 북구 칠성동2가","738","0738","0000","대구역한라하우젠트센텀","84.3074","202606","17","40,370","-","26","개인","개인","2021","칠성남로 100","-","중개거래","대구 북구","-"
"28","대구광역시 서구 평리동","1711","1711","0000","서대구역화성파크드림","84.9957","202606","17","50,300","-","13","개인","개인","2023","서대구로29길 30","-","중개거래","대구 서구, 대구 중구","-"
"29","대구광역시 동구 봉무동","1522","1522","0000","대구이시아폴리스더샵2차","84.9800","202606","17","33,800","-","2","개인","개인","2013","팔공로 274","-","중개거래","대구 동구","-"
"30","대구광역시 달서구 성당동","86-2","0086","0002","성지","66.1200","202606","17","5,000","-","3","개인","개인","1980","성당로35길 35","-","중개거래","대구 남구","-"
"31","대구광역시 달서구 성당동","834","0834","0000","성당동더샵","84.9996","202606","17","30,500","-","6","개인","개인","2008","장기로 115","-","중개거래","대구 달서구","-"
"32","대구광역시 중구 봉산동","110","0110","0000","봉산뜨란채","59.3800","202606","17","29,500","-","7","개인","개인","2006","봉산문화길 69","-","중개거래","대구 중구","-"
"33","대구광역시 북구 침산동","431-2","0431","0002","청구타운","59.9900","202606","17","16,000","-","2","개인","개인","1995","침산남로19길 9","-","중개거래","대구 북구","-"
"34","대구광역시 동구 신서동","543","0543","0000","아름다운나날1","58.6430","202606","17","16,900","-","6","개인","개인","2003","안심로 402","-","중개거래","대구 동구","-"
"35","대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","84.9900","202606","17","20,600","-","5","개인","개인","1998","큰골길 200","-","중개거래","대구 남구","-"
"36","대구광역시 남구 대명동","3067","3067","0000","교대역하늘채뉴센트원","49.7491","202606","17","34,700","-","20","개인","개인","2022","중앙대로 187","-","중개거래","대구 남구","-"
"37","대구광역시 달서구 죽전동","277-5","0277","0005","죽전역시티프라디움","84.9363","202606","17","60,000","-","28","개인","개인","2023","죽전1길 41","-","직거래","-","-"
"38","대구광역시 수성구 범물동","1281","1281","0000","청구타운","59.9100","202606","17","20,400","-","3","개인","개인","1992","지범로39길 12","-","중개거래","대구 수성구","-"
"39","대구광역시 동구 괴전동","655","0655","0000","안심역삼정그린코아더베스트","59.9698","202606","17","23,500","102동","9","개인","개인","2021","반야월북로 355","-","직거래","-","26.06.17"
"40","대구광역시 달서구 죽전동","368","0368","0000","죽전그린빌","75.0100","202606","17","21,500","-","12","개인","개인","2003","와룡로53길 40","-","중개거래","대구 달서구","-"
"41","대구광역시 달서구 진천동","841","0841","0000","센텀리움","83.6442","202606","17","33,000","-","12","개인","개인","2022","월배로14길 50","-","중개거래","대구 달서구","-"
"42","대구광역시 달서구 월성동","1894","1894","0000","월성삼정그린코아에듀파크","84.6758","202606","17","58,000","-","22","개인","개인","2022","월성로 100","-","중개거래","대구 달서구","-"
"43","대구광역시 달성군 유가읍 봉리","659","0659","0000","호반베르디움2차","98.8946","202606","17","33,300","-","3","개인","개인","2016","테크노대로5길 80","-","중개거래","대구 달성군","-"
"44","대구광역시 달성군 다사읍 세천리","1703-1","1703","0001","제일풍경채 프라임","59.9687","202606","17","22,300","-","24","개인","개인","2017","세천남로 35","-","중개거래","대구 달성군","-"
"45","대구광역시 달성군 유가읍 봉리","660","0660","0000","예미지더센트럴","115.8207","202606","17","62,800","-","18","개인","개인","2023","테크노북로 260","-","중개거래","대구 달성군","-"
"46","대구광역시 달성군 다사읍 세천리","1566-1","1566","0001","다사세천한라비발디","84.2870","202606","17","31,700","-","7","개인","개인","2016","세천로 187","-","중개거래","대구 달성군","-"
"47","대구광역시 달서구 대천동","326-1","0326","0001","이안월배","123.3770","202606","17","51,800","-","24","개인","개인","2009","조암남로 116","-","중개거래","대구 달서구","-"
"48","대구광역시 달서구 상인동","1520","1520","0000","청구","134.9250","202606","17","24,000","-","10","개인","개인","1993","상인로 105","-","중개거래","대구 달서구","-"
"49","대구광역시 달성군 다사읍 매곡리","622","0622","0000","다사한일유앤아이","84.8600","202606","17","21,000","-","7","개인","개인","2009","매곡로4길 9","-","중개거래","대구 달성군","-"
"50","대구광역시 달서구 월성동","1557-6","1557","0006","월성동코오롱하늘채1단지","84.9170","202606","17","33,200","-","1","개인","개인","2007","조암남로16길 19","-","중개거래","경북 경산시, 대구 달서구","-"
"51","대구광역시 달성군 유가읍 봉리","625","0625","0000","제일풍경채센트럴","84.9828","202606","16","35,100","-","5","개인","개인","2016","테크노대로 165","-","중개거래","대구 달성군","-"
"52","대구광역시 달성군 현풍읍 중리","480","0480","0000","대구테크노폴리스남해오네뜨1차","59.9573","202606","16","15,000","109동","20","개인","개인","2015","테크노북로4길 11","-","직거래","-","26.06.16"
"53","대구광역시 달성군 유가읍 봉리","601","0601","0000","하나리움퀸즈파크","59.8767","202606","16","16,000","-","25","개인","개인","2015","테크노북로 164","-","중개거래","대구 달성군","-"
"54","대구광역시 달성군 유가읍 봉리","627","0627","0000","반도유보라","70.0935","202606","16","20,600","-","5","개인","개인","2016","테크노대로 195","-","중개거래","대구 달성군","-"
"55","대구광역시 달서구 본동","747","0747","0000","빌리브클라쎄","165.4710","202606","16","125,000","-","42","개인","법인","2023","와룡로 41","-","중개거래","대구 북구","-"
"56","대구광역시 달서구 대곡동","1012","1012","0000","삼성래미안1","84.9500","202606","16","26,000","-","9","개인","개인","2000","상화로8길 23","-","중개거래","대구 달서구","-"
"57","대구광역시 달서구 송현동","1911","1911","0000","월성","42.0800","202606","16","9,500","-","3","개인","개인","1981","송현로16길 43","-","중개거래","대구 달서구","-"
"58","대구광역시 달서구 상인동","87","0087","0000","상인e-편한세상2단지","101.3103","202606","16","53,000","-","16","개인","개인","2008","월서로3길 15","-","중개거래","대구 달서구","-"
"59","대구광역시 달성군 구지면 응암리","1252","1252","0000","대구국가산단ZOOM파크","84.3504","202606","16","20,000","-","3","개인","개인","2020","국가산단대로64길 63","-","중개거래","대구 달성군","-"
"60","대구광역시 달성군 구지면 응암리","1252","1252","0000","대구국가산단ZOOM파크","84.3504","202606","16","20,000","-","3","개인","개인","2020","국가산단대로64길 63","20260618","중개거래","대구 달성군","-"
