"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-01-01 ~ 2026-06-21"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","대전광역시 동구 신흥동","264","0264","0000","신흥SKVIEW","84.9717","202606","19","58,600","-","22","개인","개인","2022","충무로 255","-","중개거래","대전 대덕구, 대전 동구","-"
"2","대전광역시 서구 관저동","1982","1982","0000","관저더샵2","84.8064","202606","19","51,900","-","19","개인","개인","2019","구봉산북로 52","-","중개거래","대전 서구","-"
"3","대전광역시 동구 가양동","162-11","0162","0011","큰솔3차","33.9914","202606","19","7,300","-","4","개인","개인","2002","충정로18번길 60","-","중개거래","대전 동구","-"
"4","대전광역시 유성구 죽동","683","0683","0000","죽동대원칸타빌","74.7040","202606","19","56,500","-","7","개인","개인","2017","죽동로 39","-","중개거래","대전 유성구","-"
"5","대전광역시 서구 둔산동","1204","1204","0000","녹원","59.5400","202606","19","38,500","-","7","개인","개인","1994","둔산남로 30","-","중개거래","대전 서구","-"
"6","대전광역시 서구 둔산동","1812","1812","0000","보라2차","41.8200","202606","19","15,000","-","7","개인","개인","1991","둔산로 241","-","중개거래","대전 서구","-"
"7","대전광역시 유성구 봉명동","615-2","0615","0002","스카이뷰시티","28.0783","202606","19","10,000","-","8","개인","개인","2018","온천북로13번길 21","-","직거래","-","-"
"8","대전광역시 서구 월평동","223","0223","0000","무궁화","134.8500","202606","18","62,700","-","10","개인","개인","1994","청사서로 70","-","중개거래","대전 서구","-"
"9","대전광역시 동구 홍도동","1001","1001","0000","신동아파밀리에3단지","84.8391","202606","18","28,000","-","3","개인","개인","2007","동산초교로55번길 20","-","중개거래","대전 동구","-"
"10","대전광역시 서구 도안동","1564","1564","0000","도안18단지린풀하우스","70.1430","202606","18","51,200","-","6","개인","개인","2014","도안동로 77","-","중개거래","대전 서구","-"
"11","대전광역시 서구 정림동","584","0584","0000","우성","84.9350","202606","18","21,800","-","1","개인","개인","1993","정림로 55","-","중개거래","대전 서구","-"
"12","대전광역시 대덕구 덕암동","3-7","0003","0007","덕암아파트","41.8700","202606","18","8,100","-","13","개인","개인","1998","덕암로265번길 81","-","중개거래","대전 대덕구","-"
"13","대전광역시 동구 성남동","520","0520","0000","효촌마을","59.6400","202606","18","24,700","-","17","개인","개인","2003","계족로368번길 11","-","중개거래","대전 동구","-"
"14","대전광역시 중구 문화동","775","0775","0000","주공2","49.7700","202606","18","11,900","-","15","개인","개인","1994","산성로 108-24","-","중개거래","대전 동구","-"
"15","대전광역시 유성구 덕명동","614","0614","0000","유성숲오투그란데3차","79.9955","202606","18","43,000","-","11","개인","개인","2019","학하중앙로 60","-","중개거래","대전 유성구","-"
"16","대전광역시 서구 갈마동","313-21","0313","0021","시티팰리스","37.8577","202606","18","12,000","-","6","개인","개인","2015","갈마로 23","-","중개거래","대전 서구","-"
"17","대전광역시 유성구 전민동","464-1","0464","0001","엑스포","116.3700","202606","18","52,800","-","17","개인","개인","1994","엑스포로 448","-","중개거래","대전 유성구","-"
"18","대전광역시 서구 만년동","281","0281","0000","상록수","59.8800","202606","18","28,300","-","13","개인","개인","1995","만년남로 8","-","중개거래","대전 서구","-"
"19","대전광역시 대덕구 신탄진동","771","0771","0000","대전동일스위트리버스카이1단지","77.0917","202606","18","40,000","-","4","개인","개인","2021","대청로 43","-","중개거래","대전 대덕구","-"
"20","대전광역시 서구 만년동","1-1","0001","0001","초원","59.8000","202606","18","34,700","-","4","개인","개인","1995","만년로 45","-","중개거래","대전 서구, 대전 유성구","-"
"21","대전광역시 서구 둔산동","1204","1204","0000","녹원","59.5400","202606","18","37,000","-","8","개인","개인","1994","둔산남로 30","-","중개거래","대전 서구","-"
"22","대전광역시 서구 도안동","1373","1373","0000","도안베르디움","84.9823","202606","18","51,000","-","20","개인","개인","2014","원도안로 100","-","중개거래","대전 서구","-"
"23","대전광역시 서구 관저동","1566","1566","0000","중흥S-클래스프라디움","47.5144","202606","18","24,800","-","5","개인","개인","2016","관저남로12번길 12","-","중개거래","대전 서구","-"
"24","대전광역시 동구 가양동","716","0716","0000","고운하이플러스","59.5920","202606","18","28,000","-","8","개인","개인","2023","동서대로1754번길 60","-","중개거래","대전 동구","-"
"25","대전광역시 서구 내동","2","0002","0000","맑은아침","117.6918","202606","18","43,000","-","15","개인","개인","2004","갈마로 262","-","중개거래","대전 서구","-"
"26","대전광역시 서구 관저동","1579","1579","0000","관저예미지명가의풍경","75.8566","202606","18","53,500","-","8","개인","개인","2017","관저중로 33","-","중개거래","대전 서구","-"
"27","대전광역시 대덕구 신탄진동","129-2","0129","0002","고려진흥","59.7200","202606","18","7,300","-","4","개인","개인","1990","신탄진북로35번길 27","-","중개거래","대전 대덕구","-"
"28","대전광역시 서구 도안동","1564","1564","0000","도안18단지린풀하우스","70.1430","202606","18","51,400","-","17","개인","개인","2014","도안동로 77","-","중개거래","대전 서구","-"
"29","대전광역시 유성구 봉명동","550-9","0550","0009","K-town","19.4086","202606","17","6,100","-","13","개인","개인","2015","계룡로105번길 20","-","중개거래","대전 유성구","26.06.17"
"30","대전광역시 유성구 지족동","880","0880","0000","열매마을6단지(현대2차)","84.9840","202606","17","50,800","-","18","개인","개인","2000","노은동로 187","-","중개거래","대전 유성구","-"
"31","대전광역시 유성구 지족동","894-5","0894","0005","SK허브","84.6500","202606","17","31,500","-","15","개인","개인","2006","은구비남로 13","-","중개거래","대전 유성구","-"
"32","대전광역시 유성구 대정동","316-1","0316","0001","드리움1단지","84.6500","202606","17","27,000","102","13","개인","개인","2004","대정로28번길 50","-","중개거래","대전 유성구","26.06.17"
"33","대전광역시 동구 신흥동","262","0262","0000","이스트시티2단지","74.9900","202606","17","40,300","-","19","개인","개인","2018","동대전로46번길 120","-","중개거래","대전 동구","-"
"34","대전광역시 유성구 봉산동","1023","1023","0000","유성대광로제비앙아파트","84.9147","202606","17","39,800","-","22","개인","개인","2022","와룡로 206","-","중개거래","대전 유성구","-"
"35","대전광역시 동구 성남동","520","0520","0000","효촌마을","59.9000","202606","17","23,700","-","3","개인","개인","2003","계족로368번길 11","-","중개거래","대전 동구","-"
"36","대전광역시 유성구 지족동","1093","1093","0000","대전노은4지구한화꿈에그린2블록","101.1890","202606","17","67,500","-","16","개인","개인","2014","지족북로 60","-","중개거래","대전 유성구","-"
"37","대전광역시 동구 삼성동","479","0479","0000","한밭자이","84.9811","202606","17","35,000","-","9","개인","개인","2006","대전로 935","-","중개거래","대전 동구","-"
"38","대전광역시 서구 관저동","1420","1420","0000","관저리슈빌","84.5204","202606","17","43,000","-","10","개인","개인","2005","관저동로90번길 15","-","중개거래","대전 서구","-"
"39","대전광역시 서구 관저동","1584","1584","0000","다온숲3단지","84.9400","202606","17","40,000","-","20","개인","개인","2016","구봉산북로 165","-","중개거래","대전 서구","-"
