"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-01-01 ~ 2026-06-21"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 광주광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","광주광역시 남구 진월동","499-68","0499","0068","진월동풍림아파트","109.3500","202606","19","29,000","-","17","개인","개인","2000","화산로31번안길 2","-","중개거래","광주 남구","-"
"2","광주광역시 광산구 장덕동","1593","1593","0000","현진에버빌2단지","84.9644","202606","19","53,200","-","18","개인","개인","2009","풍영로169번길 46","-","중개거래","광주 광산구","-"
"3","광주광역시 남구 송하동","594","0594","0000","효천코오롱하늘채","84.7954","202606","19","35,750","-","7","개인","개인","2020","원효천2길 13","-","중개거래","광주 남구","-"
"4","광주광역시 북구 동림동","1147-1","1147","0001","동림푸른주공3","59.9900","202606","19","11,500","-","2","개인","개인","1997","북문대로242번길 11","-","직거래","-","-"
"5","광주광역시 북구 매곡동","494","0494","0000","매곡대광로제비앙","80.3123","202606","19","27,800","-","6","개인","개인","2017","하백로6번길 12","-","중개거래","광주 북구","-"
"6","광주광역시 동구 소태동","1103","1103","0000","무등산골드클래스","59.9834","202606","19","30,000","-","20","개인","개인","2018","학소로 109","-","중개거래","광주 동구","-"
"7","광주광역시 북구 우산동","835","0835","0000","무등산자이앤어울림1단지","84.9596","202606","19","64,000","-","11","개인","개인","2025","서양로 155","-","중개거래","광주 광산구, 광주 북구","-"
"8","광주광역시 서구 풍암동","1058","1058","0000","삼능남양","60.0000","202606","19","15,900","-","9","개인","개인","2000","풍암순환로 86","-","중개거래","광주 서구","-"
"9","광주광역시 북구 일곡동","849-2","0849","0002","청솔","48.4500","202606","19","7,400","-","10","개인","개인","2000","일곡로 80","-","중개거래","광주 북구","-"
"10","광주광역시 서구 금호동","1077","1077","0000","EG스위트밸리","84.4390","202606","19","30,800","-","8","개인","개인","2003","화개중앙로87번길 16-1","-","중개거래","광주 서구","-"
"11","광주광역시 서구 쌍촌동","1385","1385","0000","상무한국아델리움","84.9546","202606","19","40,000","-","17","개인","개인","2019","내방로241번길 10","-","중개거래","광주 서구","-"
"12","광주광역시 광산구 송정동","817-5","0817","0005","광신프로그레스","84.8980","202606","19","31,000","-","4","개인","개인","2007","광산로20번길 28","-","직거래","-","-"
"13","광주광역시 서구 동천동","515","0515","0000","동천 리버팰리스","75.7200","202606","18","31,000","-","5","개인","개인","2008","동천로18번길 19","-","중개거래","광주 서구","-"
"14","광주광역시 북구 매곡동","494","0494","0000","매곡대광로제비앙","80.3123","202606","18","29,100","-","10","개인","개인","2017","하백로6번길 12","-","중개거래","광주 북구","-"
"15","광주광역시 광산구 쌍암동","676-2","0676","0002","에이엠시티센트럴파크","40.9226","202606","18","14,800","-","12","개인","법인","2015","첨단중앙로182번길 50","-","직거래","-","-"
"16","광주광역시 북구 오치동","862-10","0862","0010","대광아파트","28.9800","202606","18","4,900","-","6","개인","개인","1998","설죽로336번길 17","-","중개거래","광주 북구","-"
"17","광주광역시 서구 농성동","422-3","0422","0003","삼익","84.1100","202606","18","22,500","-","12","개인","개인","1983","내방로 430","-","중개거래","광주 서구","-"
"18","광주광역시 서구 농성동","702","0702","0000","농성SKVIEWCentral","84.9752","202606","18","53,000","-","5","개인","개인","2019","상무대로1147번길 16","-","중개거래","광주 서구","-"
"19","광주광역시 북구 연제동","1119","1119","0000","힐스테이트연제","84.9934","202606","18","40,000","-","4","개인","개인","2020","양일1로 31","-","중개거래","광주 동구","-"
"20","광주광역시 북구 우산동","835","0835","0000","무등산자이앤어울림1단지","84.9813","202606","18","57,300","-","12","개인","개인","2025","서양로 155","-","중개거래","광주 북구","-"
"21","광주광역시 남구 봉선동","983","0983","0000","라인하이츠","59.9000","202606","18","8,000","-","2","개인","개인","1988","대남대로159번길 42","-","중개거래","광주 서구","-"
"22","광주광역시 광산구 흑석동","524","0524","0000","수완이지더원","59.8832","202606","18","30,000","-","1","개인","개인","2012","풍영로101번길 22","-","중개거래","광주 광산구","-"
"23","광주광역시 북구 신용동","655","0655","0000","제일풍경채리버파크","67.4686","202606","18","40,500","-","8","개인","개인","2014","첨단연신로 216","-","중개거래","광주 북구","-"
