"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-01-01 ~ 2026-06-21"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","인천광역시 미추홀구 주안동","1621","1621","0000","관교한신휴플러스","84.7488","202606","19","38,000","-","5","개인","개인","2010","경원대로 717","-","중개거래","인천 미추홀구","-"
"2","인천광역시 부평구 삼산동","56-3","0056","0003","삼보","57.8200","202606","19","17,800","-","2","개인","개인","1990","후정동로47번길 4","-","중개거래","인천 부평구","-"
"3","인천광역시 남동구 논현동","601-1","0601","0001","별빛마을웰카운티(10단지)","153.0800","202606","19","54,000","-","14","개인","개인","2008","논현로 235","-","중개거래","경기 용인시 수지구, 인천 남동구","-"
"4","인천광역시 부평구 산곡동","233-26","0233","0026","태화프리상뜨","84.4955","202606","19","32,250","-","23","개인","개인","2004","마장로220번길 65","-","중개거래","인천 부평구","-"
"5","인천광역시 연수구 송도동","2-7","0002","0007","송도풍림아이원1단지","84.7167","202606","19","57,500","-","9","개인","개인","2005","신송로118번길 6","-","중개거래","인천 연수구","-"
"6","인천광역시 연수구 동춘동","929","0929","0000","풍림2","45.3600","202606","19","28,800","-","1","개인","개인","1993","경원대로119번길 21","-","중개거래","인천 남동구, 인천 연수구","-"
"7","인천광역시 남동구 논현동","577","0577","0000","풍림","85.0000","202606","19","27,600","-","3","개인","개인","2000","청능대로718번길 7","-","중개거래","인천 남동구","-"
"8","인천광역시 서구 불로동","806","0806","0000","불로e-편한세상","59.7940","202606","19","24,700","-","11","개인","개인","2005","고산후로 398","-","중개거래","인천 서구","-"
"9","인천광역시 서구 왕길동","295-1","0295","0001","유승","84.9600","202606","19","21,500","-","14","개인","개인","2000","단봉로 12","-","중개거래","인천 서구","-"
"10","인천광역시 계양구 작전동","852-14","0852","0014","신한","48.2800","202606","19","13,000","-","3","개인","개인","1984","계양대로139번길 9","-","중개거래","인천 계양구","-"
"11","인천광역시 서구 심곡동","285","0285","0000","대동","59.9100","202606","19","21,000","-","20","개인","개인","1996","심곡로 135","-","중개거래","인천 서구","-"
"12","인천광역시 서구 당하동","1027-15","1027","0015","신안실크벨리","59.9639","202606","19","26,500","-","13","개인","개인","2004","원당대로840번길 22","-","중개거래","인천 서구, 인천 연수구","-"
"13","인천광역시 서구 불로동","가-","0000","0000","신검단중앙역디에트르더에듀","84.9974","202606","19","58,082","-","15","개인","개인","2026","동화시로 157","-","중개거래","인천 서구","-"
"14","인천광역시 서구 가정동","609-1","0609","0001","루원호반베르디움더센트럴","73.1716","202606","19","59,300","-","24","개인","개인","2018","봉오재3로 75","-","중개거래","인천 서구","-"
"15","인천광역시 계양구 효성동","677","0677","0000","e편한세상 계양 더프리미어","59.8883","202606","18","50,500","-","3","개인","개인","2021","효서로 145","-","중개거래","인천 계양구","-"
"16","인천광역시 서구 원당동","987","0987","0000","검단신도시로제비앙라포레","84.4159","202606","18","50,400","-","6","개인","개인","2022","서로3로 277","-","중개거래","인천 서구","-"
"17","인천광역시 서구 백석동","가-","0000","0000","검암역로열파크씨티푸르지오2단지","59.9590","202606","18","53,000","-","8","개인","개인","2023","한들로 73","-","중개거래","인천 서구","-"
"18","인천광역시 계양구 작전동","912-5","0912","0005","도두리마을대동","40.0500","202606","18","15,000","-","14","개인","개인","1997","도두리로 74","-","중개거래","인천 계양구","-"
"19","인천광역시 서구 당하동","1311-1","1311","0001","우미린파크뷰2단지","59.8198","202606","18","48,000","-","14","개인","개인","2023","이음2로 90","-","중개거래","인천 서구","-"
"20","인천광역시 남동구 논현동","634-1","0634","0001","어진마을한화꿈에그린(6단지)","119.8770","202606","18","50,500","-","14","개인","개인","2007","논현로 106","-","중개거래","인천 남동구","-"
"21","인천광역시 남동구 서창동","715","0715","0000","서창베라체아파트(11단지)","59.4900","202606","18","36,000","-","16","개인","개인","2012","서창남로 17","-","중개거래","인천 남동구","-"
"22","인천광역시 중구 중산동","1878-1","1878","0001","인천영종한양수자인","59.2156","202606","18","29,500","-","14","개인","개인","2012","은하수로 377","-","중개거래","인천 중구","-"
