"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-01-01 ~ 2026-06-21"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","부산광역시 부산진구 당감동","175-2","0175","0002","삼익아파트","64.4400","202606","19","27,000","-","5","개인","개인","1978","당감로 17","-","중개거래","부산 부산진구","-"
"2","부산광역시 서구 토성동5가","46-1","0046","0001","아크로폴리스","30.4800","202606","19","6,300","-","7","개인","개인","2003","구덕로 135","-","중개거래","부산 서구","-"
"3","부산광역시 북구 만덕동","955","0955","0000","백양디이스트(1단지)","84.9944","202606","19","31,900","-","7","개인","개인","2015","덕천로276번길 60","-","중개거래","부산 북구","-"
"4","부산광역시 부산진구 범천동","1647","1647","0000","서면DS·협성엘리시안아파트","59.8980","202606","19","33,800","-","15","개인","개인","2017","만리산로 11","-","중개거래","부산 부산진구","-"
"5","부산광역시 북구 덕천동","802","0802","0000","덕천주공1","38.6400","202606","19","9,200","-","3","개인","개인","1991","덕천로 72","-","중개거래","부산 북구","-"
"6","부산광역시 부산진구 전포동","33-9","0033","0009","서면한신","84.9800","202606","19","39,500","-","1","개인","개인","1997","전포대로 294","-","중개거래","부산 부산진구","-"
"7","부산광역시 해운대구 반송동","401","0401","0000","삼한그린맨션","72.1700","202606","19","9,000","-","2","개인","개인","1990","반송로877번길 91","-","직거래","-","-"
"8","부산광역시 수영구 민락동","181-79","0181","0079","광안KCC스위첸하버뷰","40.3845","202606","19","48,000","-","18","법인","개인","2021","민락수변로 49","-","중개거래","부산 수영구","-"
"9","부산광역시 기장군 정관읍 용수리","1336","1336","0000","이진캐스빌","59.8881","202606","19","32,700","-","10","개인","개인","2014","정관로 545","-","중개거래","부산 기장군","-"
"10","부산광역시 강서구 명지동","3400","3400","0000","부산명지중흥S-클래스프라디움","59.9962","202606","19","30,700","-","16","개인","개인","2016","명지국제7로 133","-","중개거래","부산 강서구","-"
