"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-01-01 ~ 2026-06-21"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 강원특별자치도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","강원특별자치도 철원군 동송읍 이평리","572-4","0572","0004","유명(101,102동)","36.0000","202606","19","3,000","-","11","개인","개인","1997","금학로116번길 13","-","직거래","-","-"
"2","강원특별자치도 원주시 반곡동","2047-4","2047","0004","현대프라힐스 원주혁신","84.9100","202606","19","27,900","-","16","개인","개인","2015","배울로 50","-","중개거래","강원 원주시","-"
"3","강원특별자치도 태백시 황지동","24","0024","0000","대산하이츠빌","59.7954","202606","19","12,000","-","9","개인","개인","2002","풀미당골길 35","-","직거래","-","-"
"4","강원특별자치도 강릉시 내곡동","759","0759","0000","강릉자이파인베뉴","76.9454","202606","19","43,800","-","1","개인","개인","2024","동해대로 2768","-","중개거래","강원 강릉시","-"
"5","강원특별자치도 원주시 단계동","1221","1221","0000","원주봉화산벨라시티3차아파트","84.9905","202606","19","36,000","-","17","개인","개인","2020","서원대로 35","-","중개거래","강원 원주시","-"
"6","강원특별자치도 원주시 단구동","1679","1679","0000","청솔3차","58.6500","202606","19","9,000","-","6","개인","개인","2000","단구로 406","-","중개거래","강원 원주시","-"
"7","강원특별자치도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","84.9900","202606","19","23,800","-","5","개인","개인","2005","경강로2539번길 22","-","직거래","-","-"
"8","강원특별자치도 춘천시 석사동","893","0893","0000","석사동현진에버빌1차","84.9990","202606","19","34,000","-","8","개인","개인","2004","지석로 97","-","중개거래","강원 춘천시","-"
"9","강원특별자치도 강릉시 노암동","627-2","0627","0002","대림임대","48.3200","202606","19","6,000","-","5","개인","개인","1989","임영로25번길 13","-","중개거래","강원 강릉시","-"
"10","강원특별자치도 강릉시 노암동","627-2","0627","0002","대림임대","48.3200","202606","19","6,000","-","5","개인","개인","1989","임영로25번길 13","20260619","중개거래","강원 강릉시","-"
"11","강원특별자치도 강릉시 입암동","712","0712","0000","입암동강변코아루오투리움아파트","79.1910","202606","19","32,800","-","10","개인","개인","2019","월대산로 23","-","중개거래","강원 강릉시","-"
"12","강원특별자치도 원주시 지정면 가곡리","1468","1468","0000","이지더원더그레이스아파트","84.9709","202606","19","31,500","-","14","개인","개인","2020","신지정로 255","-","중개거래","강원 원주시","-"
"13","강원특별자치도 원주시 지정면 가곡리","1534","1534","0000","원주롯데캐슬더퍼스트2차","59.9479","202606","19","22,500","-","1","개인","개인","2018","가곡로 70","-","중개거래","강원 원주시","-"
"14","강원특별자치도 춘천시 온의동","591","0591","0000","춘천센트럴파크푸르지오","74.9407","202606","19","51,500","-","16","개인","개인","2021","스포츠타운길 501","-","중개거래","강원 춘천시","-"
"15","강원특별자치도 춘천시 온의동","590","0590","0000","온의롯데캐슬스카이클래스","99.6290","202606","19","58,000","-","11","개인","개인","2015","방송길 70","-","중개거래","강원 춘천시","-"
"16","강원특별자치도 강릉시 초당동","143","0143","0000","우성","84.7700","202606","18","19,500","-","15","개인","개인","1997","연당길 67-15","-","직거래","-","-"
"17","강원특별자치도 원주시 단구동","1612","1612","0000","현진에버빌","84.8860","202606","18","20,700","-","8","개인","개인","2001","나비허리길 22","-","중개거래","강원 원주시","-"
"18","강원특별자치도 홍천군 홍천읍 갈마곡리","549","0549","0000","홍천오드카운티","59.9747","202606","18","28,000","-","7","개인","개인","2016","갈마로11길 33","-","중개거래","강원 홍천군","-"
"19","강원특별자치도 태백시 황지동","662","0662","0000","태백황지청솔","38.3650","202606","18","4,500","-","4","개인","개인","2001","청솔길 35","-","직거래","-","-"
"20","강원특별자치도 태백시 황지동","847","0847","0000","에코빌","84.9920","202606","18","16,500","-","2","개인","개인","2014","대학길 87","-","중개거래","강원 태백시","-"
"21","강원특별자치도 태백시 황지동","244-11","0244","0011","공무원","58.3500","202606","18","6,400","-","2","개인","개인","1989","태붐로 8","-","중개거래","강원 태백시","-"
"22","강원특별자치도 원주시 반곡동","1822-11","1822","0011","원주혁신도시제일풍경채센텀포레","105.9073","202606","18","44,000","-","1","개인","개인","2023","배울로 154","-","중개거래","강원 원주시","-"
"23","강원특별자치도 양양군 양양읍 내곡리","263","0263","0000","한양수자인","78.0584","202606","18","28,000","-","11","개인","개인","2020","한고개길 31-46","-","중개거래","강원 양양군","-"
"24","강원특별자치도 동해시 동회동","442","0442","0000","현대4차","73.4675","202606","18","13,300","-","11","개인","개인","1998","청운1길 29","-","중개거래","강원 동해시","-"
"25","강원특별자치도 동해시 천곡동","794","0794","0000","한양3차","49.8100","202606","18","6,700","-","6","개인","개인","1992","천곡로 15","-","중개거래","강원 동해시","-"
"26","강원특별자치도 원주시 태장동","548","0548","0000","정암","41.3100","202606","18","4,300","-","1","개인","개인","1988","흥양로 98","-","중개거래","강원 원주시","-"
"27","강원특별자치도 춘천시 효자동","821","0821","0000","동보","28.3800","202606","18","5,250","-","8","개인","개인","1999","공지로200번길 13","-","중개거래","강원 춘천시","-"
