"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-01-01 ~ 2026-06-21"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 제주특별자치도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","제주특별자치도 서귀포시 동홍동","355-1","0355","0001","주공4(동홍주공4)","58.8000","202606","19","16,700","-","3","개인","개인","1994","태평로512번길 10","-","중개거래","제주 서귀포시","-"
"2","제주특별자치도 서귀포시 중문동","2367-1","2367","0001","삼성홈스테이","17.1446","202606","19","5,500","-","7","개인","개인","2018","중문상로 10","-","중개거래","제주 제주시","-"
"3","제주특별자치도 제주시 노형동","754-4","0754","0004","부영2차","45.9078","202606","19","33,000","-","10","개인","개인","2001","과원로 11","-","중개거래","제주 제주시","-"
"4","제주특별자치도 제주시 용담이동","3820","3820","0000","호반써밋제주","84.4725","202606","19","59,000","-","3","개인","개인","2024","용담로7길 18","-","중개거래","제주 제주시","-"
"5","제주특별자치도 제주시 연동","1399-1","1399","0001","대림이편한세상2차","84.9780","202606","19","78,000","-","5","개인","개인","2002","연화로 25","-","중개거래","제주 제주시","-"
"6","제주특별자치도 서귀포시 중문동","1802","1802","0000","포레나제주중문","84.9685","202606","18","54,800","-","5","개인","개인","2023","중문상로82번길 45","-","중개거래","제주 서귀포시","-"
"7","제주특별자치도 서귀포시 동홍동","91-1","0091","0001","서강파인힐(101동)","83.4900","202606","18","23,000","-","2","개인","개인","2012","동홍서로 104-10","-","중개거래","제주 제주시","-"
"8","제주특별자치도 서귀포시 서홍동","1589-1","1589","0001","서홍캐슬휘닉스아파트","81.3397","202606","17","32,000","-","3","개인","개인","2015","서홍로178번길 49","-","중개거래","제주 서귀포시, 제주 제주시","-"
"9","제주특별자치도 제주시 삼양이동","2333","2333","0000","제주삼화사랑으로부영5차","84.3616","202606","17","51,000","-","4","개인","개인","2013","화삼로 166","-","중개거래","제주 제주시","-"
"10","제주특별자치도 제주시 오라이동","1492","1492","0000","미듬아뜨리에","59.9200","202606","16","25,500","-","2","개인","개인","2014","연사길 83-20","-","중개거래","제주 제주시","-"
"11","제주특별자치도 제주시 도남동","52-18","0052","0018","원신","61.4400","202606","16","11,500","-","1","개인","개인","1989","신성로2길 45","-","직거래","-","26.06.16"
"12","제주특별자치도 제주시 도두일동","2619-1","2619","0001","도두네오하임주상복합A동","84.0100","202606","15","29,000","-","3","개인","개인","2016","도두항서5길 10","-","중개거래","제주 제주시","-"
"13","제주특별자치도 제주시 외도일동","529-4","0529","0004","외도에이스아크로빌2차","84.9800","202606","15","31,000","-","3","개인","개인","2010","우정로7길 24","-","중개거래","제주 제주시","-"
"14","제주특별자치도 제주시 이도이동","1034-3","1034","0003","TS주상복합빌딩","27.0600","202606","14","5,650","-","3","개인","개인","2010","중앙로 261-1","-","중개거래","제주 제주시","-"
"15","제주특별자치도 제주시 삼양이동","2132-3","2132","0003","동명","69.2700","202606","14","22,000","가","6","개인","개인","1991","일주동로 361","-","중개거래","제주 제주시","26.06.17"
"16","제주특별자치도 제주시 도련일동","1910","1910","0000","제주삼화사랑으로부영8차","84.9933","202606","13","57,500","-","4","개인","개인","2016","화삼로 89","-","중개거래","제주 제주시","-"
"17","제주특별자치도 제주시 외도일동","560-1","0560","0001","외도부영1차","39.8400","202606","13","16,000","-","4","개인","개인","2000","우정로11길 22","-","중개거래","제주 제주시","-"
"18","제주특별자치도 제주시 도련일동","1911","1911","0000","제주삼화사랑으로부영6차","84.3616","202606","13","52,000","-","8","개인","개인","2013","화삼로 107","-","중개거래","제주 제주시","-"
"19","제주특별자치도 서귀포시 보목동","875","0875","0000","로얄하이츠맨션","83.7000","202606","13","10,000","-","2","개인","개인","1990","마소물로8번길 10-1","-","중개거래","제주 서귀포시","-"
"20","제주특별자치도 제주시 용담일동","2672-3","2672","0003","한라더카운티","84.9506","202606","13","36,500","-","4","개인","개인","2019","남성로3길 3","-","중개거래","제주 제주시","-"
"21","제주특별자치도 제주시 연동","290-4","0290","0004","이레빌","22.7500","202606","13","5,500","-","9","개인","개인","2012","신광로1길 6","-","중개거래","제주 제주시","-"
"22","제주특별자치도 제주시 삼도일동","536-3","0536","0003","한성베르뜨2차","84.2600","202606","12","35,000","-","9","개인","개인","2013","서사로 123","-","중개거래","제주 제주시","-"
"23","제주특별자치도 제주시 일도이동","113-3","0113","0003","일도성환","59.9650","202606","12","29,300","-","4","개인","개인","1995","태성로 23","-","중개거래","제주 제주시","-"
"24","제주특별자치도 제주시 삼도이동","300-26","0300","0026","미듬하나로","79.2200","202606","12","24,500","-","6","개인","개인","2003","중앙로28길 29","-","중개거래","제주 제주시","-"
"25","제주특별자치도 제주시 애월읍 하귀1리","167","0167","0000","제주하귀휴먼시아1단지","84.7200","202606","11","40,200","-","5","개인","개인","2010","하귀9길 45","-","중개거래","제주 제주시","-"
"26","제주특별자치도 제주시 화북일동","12-1","0012","0001","화북주공4단지","49.5000","202606","11","25,000","-","4","개인","개인","1998","동화로1길 10","-","중개거래","제주 제주시","-"
"27","제주특별자치도 제주시 연동","273-43","0273","0043","제주연동리슈빌디에스","27.2323","202606","10","11,750","-","4","개인","개인","2018","노연로 103","-","직거래","-","-"
"28","제주특별자치도 제주시 노형동","754","0754","0000","부영5차","84.9508","202606","10","64,500","-","6","개인","개인","2001","과원북2길 12","-","중개거래","제주 제주시","-"
"29","제주특별자치도 서귀포시 중문동","1789","1789","0000","중문푸른마을","51.8800","202606","10","18,000","-","1","개인","개인","2003","천제연로 239","-","중개거래","제주 서귀포시","-"
"30","제주특별자치도 서귀포시 서호동","1545","1545","0000","HausD블루오션","84.9400","202606","10","48,500","-","8","개인","개인","2015","서호남로 92-16","-","중개거래","제주 서귀포시","-"
"31","제주특별자치도 제주시 연동","251-16","0251","0016","제원2차","88.0400","202606","09","29,000","제원아파트 이","3","개인","개인","1979","신광로6길 26","-","직거래","-","26.06.09"
"32","제주특별자치도 제주시 연동","309","0309","0000","남경하이빌","83.0100","202606","08","32,000","-","7","개인","개인","2003","신대로 151","-","중개거래","제주 제주시","-"
