"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-01-01 ~ 2026-06-21"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 울산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","울산광역시 남구 달동","118-1","0118","0001","현대2","127.6910","202606","19","53,700","-","14","개인","개인","1994","삼산로156번길 5-74","-","중개거래","울산 남구","-"
"2","울산광역시 중구 성안동","790-11","0790","0011","태경","80.4324","202606","19","16,000","-","4","개인","개인","2011","함월16길 53","-","중개거래","울산 울주군, 울산 중구","-"
"3","울산광역시 중구 복산동","186-1","0186","0001","해동성지","59.9100","202606","19","16,000","-","6","개인","개인","2021","도화골길 30","-","직거래","-","-"
"4","울산광역시 중구 유곡동","69","0069","0000","울산유곡푸르지오","131.0796","202606","19","70,500","-","1","개인","개인","2010","평동3길 1","-","중개거래","울산 중구","-"
"5","울산광역시 동구 서부동","248-24","0248","0024","서부성원상떼빌","70.8400","202606","19","26,000","-","7","개인","개인","2005","봉수로 450","-","중개거래","울산 동구","-"
"6","울산광역시 울주군 청량읍 덕하리","1101","1101","0000","울산뉴시티에일린의뜰2차","84.9521","202606","18","57,000","-","11","개인","개인","2024","덕하1로 55","-","중개거래","울산 남구, 울산 울주군","-"
"7","울산광역시 남구 옥동","129-6","0129","0006","대공원현대","71.6850","202606","18","35,500","-","10","개인","개인","1992","대공원로115번길 10","-","중개거래","울산 남구","-"
"8","울산광역시 동구 화정동","240","0240","0000","벽산우진","59.9800","202606","18","12,500","-","10","개인","개인","1998","진성15길 55","-","중개거래","울산 동구","-"
"9","울산광역시 남구 야음동","937","0937","0000","힐스테이트수암(1단지)","84.8029","202606","18","82,000","-","25","개인","개인","2019","중앙로47번길 27","-","중개거래","울산 남구","-"
"10","울산광역시 동구 화정동","949","0949","0000","힐스테이트 이스턴베이","84.9759","202606","18","40,800","-","16","개인","개인","2015","화진길 100","-","중개거래","울산 동구","-"
"11","울산광역시 남구 야음동","943","0943","0000","번영로하늘채센트럴파크","59.9120","202606","18","63,400","-","14","개인","개인","2022","번영로16번길 14","-","중개거래","울산 남구","-"
"12","울산광역시 남구 달동","775-6","0775","0006","어울림","74.2500","202606","18","35,000","-","15","개인","개인","1999","도산로77번길 4","-","중개거래","울산 남구","-"
"13","울산광역시 남구 야음동","594-10","0594","0010","신정현대홈타운2","40.8000","202606","18","18,200","-","3","개인","개인","1999","대암로 82","-","중개거래","울산 남구","-"
"14","울산광역시 중구 우정동","172","0172","0000","마제스타워","84.9865","202606","18","44,000","-","24","개인","개인","2009","학성로 1","-","중개거래","울산 중구","-"
"15","울산광역시 남구 무거동","275-1","0275","0001","굴화주공1","59.9900","202606","18","24,300","-","18","개인","개인","1997","굴화4길 20","-","중개거래","울산 남구","-"
"16","울산광역시 남구 야음동","401-1","0401","0001","울산호수공원대명루첸아파트","73.0200","202606","18","64,500","-","20","개인","개인","2020","신선로 186","-","중개거래","울산 남구","-"
"17","울산광역시 남구 무거동","1553","1553","0000","신복현대","59.7600","202606","18","12,200","-","7","개인","개인","1996","신복로72번길 29","-","중개거래","울산 남구","-"
"18","울산광역시 남구 무거동","1527-4","1527","0004","울산대이즈플레이스","49.3300","202606","18","22,000","-","14","개인","개인","2018","신복로6번길 17","-","중개거래","울산 남구","-"
"19","울산광역시 북구 화봉동","1471","1471","0000","화봉휴먼시아","84.4500","202606","18","41,000","-","11","개인","개인","2009","화산로 19","-","중개거래","울산 북구","-"
"20","울산광역시 북구 화봉동","452","0452","0000","동아.청구아파트","59.9900","202606","18","16,000","-","4","개인","개인","1994","상방로 81","-","중개거래","울산 북구","-"
"21","울산광역시 북구 송정동","1207-3","1207","0003","울산송정한양수자인","84.9843","202606","18","58,500","-","23","개인","개인","2019","박상진3로 25","-","중개거래","울산 북구","-"
"22","울산광역시 동구 서부동","257-4","0257","0004","현대패밀리서부","49.8500","202606","18","9,700","-","8","개인","개인","1992","방어진순환도로 995","-","중개거래","울산 동구","-"
"23","울산광역시 남구 신정동","1911","1911","0000","신정지웰","84.9690","202606","18","44,800","-","25","개인","개인","2018","월평로171번길 26","-","중개거래","울산 남구","-"
"24","울산광역시 남구 신정동","851-20","0851","0020","신정현대홈타운4","59.9700","202606","18","33,500","-","6","개인","개인","2001"," ","-","중개거래","울산 남구","-"
"25","울산광역시 울주군 언양읍 반천리","1023-51","1023","0051","반천현대","59.7500","202606","18","9,500","-","20","개인","개인","1994","반천강변길 51","-","중개거래","울산 울주군","-"
"26","울산광역시 북구 송정동","1237-2","1237","0002","울산송정반도유보라아이비파크","84.9456","202606","18","65,000","-","17","개인","개인","2019","화산로 104","-","중개거래","울산 북구, 울산 중구","-"
"27","울산광역시 중구 유곡동","259","0259","0000","우정혁신도시1차동원로얄듀크","84.9997","202606","18","53,500","-","14","개인","개인","2013","종가로 250","-","중개거래","울산 중구","-"
"28","울산광역시 울주군 범서읍 천상리","600","0600","0000","그린코아","84.8500","202606","18","23,500","-","3","개인","개인","1999","천상6길 6","-","중개거래","울산 울주군","-"
"29","울산광역시 북구 중산동","1317-1","1317","0001","U-스타시티일동미라주더스타3단지","84.8941","202606","18","37,500","-","10","개인","개인","2019","중산로 45","-","중개거래","울산 북구","-"
"30","울산광역시 울주군 범서읍 구영리","204-1","0204","0001","구영1차우미린","67.9250","202606","18","40,500","-","2","개인","개인","2007","구영로 75-9","-","중개거래","울산 울주군","-"
"31","울산광역시 동구 전하동","779","0779","0000","스위첸웰츠타워1차","84.9590","202606","18","48,500","-","12","개인","개인","2022","방어진순환도로 863","-","중개거래","울산 동구","-"
"32","울산광역시 동구 방어동","59-1","0059","0001","대왕암엘크루","59.6000","202606","18","29,000","-","18","개인","개인","2014","등대4길 26","-","중개거래","울산 동구","-"
"33","울산광역시 남구 두왕동","747-2","0747","0002","대공원호반베르디움2차","84.9801","202606","18","46,200","-","1","개인","개인","2020","테크노산업로82번길 52","-","중개거래","울산 남구","-"
"34","울산광역시 울주군 청량읍 율리","1472-1","1472","0001","문수데시앙1단지","84.9400","202606","18","39,900","-","7","개인","개인","2015","율리영해2길 8","-","중개거래","울산 남구, 울산 울주군","-"
"35","울산광역시 울주군 삼남읍 교동리","1678-3","1678","0003","울산역신도시동문디이스트","84.8840","202606","18","43,450","-","30","개인","개인","2019","울산역로 274","-","중개거래","울산 울주군","-"
"36","울산광역시 울주군 범서읍 구영리","205","0205","0000","동문굿모닝힐","69.7496","202606","17","40,200","-","19","개인","개인","2007","구영로 75-25","-","중개거래","울산 울주군","-"
"37","울산광역시 울주군 온양읍 대안리","542","0542","0000","대안IPARK","84.8600","202606","17","18,000","-","15","개인","개인","1993","남창강변로 93","-","중개거래","울산 울주군","-"
"38","울산광역시 중구 약사동","1101","1101","0000","약사아이파크","72.5100","202606","17","59,300","-","5","개인","개인","2015","평산로 50","-","중개거래","울산 중구","-"
"39","울산광역시 남구 야음동","789-6","0789","0006","동부3","134.9800","202606","17","52,000","-","17","개인","개인","1996","야음로 24","-","중개거래","울산 남구","-"
"40","울산광역시 울주군 언양읍 동부리","360-1","0360","0001","언양동부주공","49.8500","202606","17","13,000","-","13","개인","개인","1999","북문8길 17","-","중개거래","울산 울주군","-"
"41","울산광역시 중구 장현동","191","0191","0000","에일린의뜰2차아파트","84.8207","202606","17","47,200","-","9","개인","개인","2013","종가로 730","-","중개거래","울산 중구","-"
"42","울산광역시 동구 전하동","660-1","0660","0001","울산전하푸르지오1단지","84.8959","202606","17","39,800","-","12","개인","개인","2011","봉수로 250","-","중개거래","울산 동구","-"
"43","울산광역시 중구 남외동","500","0500","0000","에일린의뜰","84.9920","202606","17","54,000","-","13","개인","개인","2007","남외1길 105","-","중개거래","울산 중구","-"
"44","울산광역시 중구 성안동","377-4","0377","0004","행복플러스","82.2600","202606","17","16,500","-","9","개인","개인","2010","함월20길 95","-","중개거래","울산 중구","-"
"45","울산광역시 중구 유곡동","215","0215","0000","우정혁신도시2차동원로얄듀크","84.9967","202606","17","62,500","-","2","개인","개인","2014","종가4길 10","-","중개거래","울산 중구","-"
"46","울산광역시 남구 무거동","1594","1594","0000","무거위브자이","120.0050","202606","17","76,500","-","19","개인","개인","2013","북부순환도로 35","-","중개거래","울산 남구","-"
"47","울산광역시 중구 유곡동","69","0069","0000","울산유곡푸르지오","84.9906","202606","17","62,500","-","24","개인","개인","2010","평동3길 1","-","중개거래","울산 중구","-"
"48","울산광역시 남구 달동","596-7","0596","0007","장미","54.1200","202606","17","14,500","-","1","개인","개인","1986","삼산로143번길 14","-","중개거래","울산 남구","-"
"49","울산광역시 동구 서부동","248-24","0248","0024","서부성원상떼빌","70.8400","202606","17","23,900","-","24","개인","개인","2005","봉수로 450","-","중개거래","울산 동구","-"
"50","울산광역시 북구 달천동","107","0107","0000","그린카운티1","83.9989","202606","17","20,900","-","15","개인","개인","2004","달천로 119","-","중개거래","울산 북구","-"
"51","울산광역시 남구 신정동","581-1","0581","0001","근훈스카이빌2차","84.6143","202606","17","24,000","-","4","개인","개인","2004","중앙로214번길 12","-","중개거래","울산 남구","-"
"52","울산광역시 중구 태화동","472-1","0472","0001","경륜","47.1270","202606","17","12,500","-","4","개인","개인","1981","신기3길 15","-","중개거래","울산 중구","-"
"53","울산광역시 중구 태화동","150-2","0150","0002","삼익세라믹","84.3100","202606","17","22,500","-","8","개인","개인","1990","신기12길 12","-","중개거래","울산 중구","-"
"54","울산광역시 울주군 온양읍 망양리","794","0794","0000","e편한세상울산온양","59.9889","202606","17","25,500","-","8","개인","개인","2018","망양길 50","-","중개거래","울산 울주군","-"
"55","울산광역시 남구 선암동","164-7","0164","0007","한양","44.4300","202606","17","10,800","-","2","개인","개인","1986","산업로339번길 36","-","중개거래","울산 남구","-"
"56","울산광역시 북구 산하동","1037-1","1037","0001","블루마시티KCC스위첸","84.9865","202606","17","36,000","-","35","개인","개인","2019","산하중앙1로 6","-","중개거래","울산 북구","-"
"57","울산광역시 남구 신정동","1845-1","1845","0001","서강파크","80.2500","202606","17","54,700","-","5","개인","개인","1988","거마로77번길 8","-","중개거래","울산 남구","-"
"58","울산광역시 북구 중산동","736","0736","0000","백산그린타워","69.6150","202606","16","7,000","101","3","개인","개인","1993","화정1길 12-2","-","중개거래","울산 중구","26.06.17"
"59","울산광역시 중구 유곡동","271-2","0271","0002","에일린의뜰3차","110.8243","202606","16","69,800","-","12","개인","개인","2014","종가로 245","-","중개거래","울산 중구","-"
"60","울산광역시 북구 매곡동","532","0532","0000","매곡현대아파트(101~106동)","49.8050","202606","16","10,000","-","6","개인","개인","1994","매곡1로 13","20260618","중개거래","울산 북구","-"
"61","울산광역시 남구 달동","775-6","0775","0006","어울림","74.2500","202606","16","32,800","-","2","개인","개인","1999","도산로77번길 4","-","중개거래","울산 남구","-"
"62","울산광역시 울주군 범서읍 구영리","856","0856","0000","구영강변디아채","120.3622","202606","16","47,500","-","10","개인","개인","2008","점촌4길 9","-","중개거래","울산 울주군","-"
"63","울산광역시 남구 달동","119-1","0119","0001","달동주공2단지","38.6400","202606","16","14,000","-","11","개인","개인","1993","번영로107번길 5","-","중개거래","울산 남구","-"
"64","울산광역시 남구 신정동","1890","1890","0000","문수로2차IPARK2단지","84.9424","202606","16","118,500","-","21","개인","개인","2013","동산로69번길 14","-","중개거래","울산 남구","-"
"65","울산광역시 남구 신정동","1401-15","1401","0015","크로바","84.9130","202606","16","21,300","-","3","개인","개인","1989","남산로314번길 18","-","중개거래","울산 남구","-"
"66","울산광역시 남구 두왕동","747-2","0747","0002","대공원호반베르디움2차","84.9801","202606","16","53,000","-","8","개인","개인","2020","테크노산업로82번길 52","-","중개거래","울산 남구","-"
"67","울산광역시 남구 야음동","881","0881","0000","롯데캐슬골드2단지","84.9600","202606","16","61,000","-","15","개인","개인","2008"," ","-","중개거래","울산 남구","-"
"68","울산광역시 남구 신정동","1903","1903","0000","양우내안애팰리스","76.3890","202606","16","35,000","-","17","개인","개인","2016","봉월로 55","-","중개거래","울산 남구","-"
"69","울산광역시 북구 송정동","1236-4","1236","0004","울산송정제일풍경채레이크뷰","84.9870","202606","16","60,900","-","17","개인","개인","2019","박상진3로 73","-","중개거래","울산 북구","-"
"70","울산광역시 울주군 범서읍 구영리","371","0371","0000","구영지구푸르지오2단지","84.9950","202606","16","42,500","-","17","개인","개인","2006","대리2길 46","-","중개거래","울산 울주군","-"
"71","울산광역시 중구 복산동","766","0766","0000","번영로효성해링턴플레이스1차아파트","84.6521","202606","16","58,000","-","7","개인","개인","2015","번영로 435","-","중개거래","울산 중구","-"
"72","울산광역시 울주군 온양읍 발리","1331","1331","0000","울산온양한양립스","68.6576","202606","16","36,510","-","16","개인","개인","2024","발리동상로 35","-","직거래","-","-"
"73","울산광역시 울주군 범서읍 굴화리","758","0758","0000","문수산 더샵","84.8900","202606","16","59,000","-","25","개인","개인","2014","장검길 88","-","중개거래","울산 울주군","-"
"74","울산광역시 동구 서부동","1049","1049","0000","울산지웰시티자이1단지","84.9976","202606","16","56,500","-","4","개인","개인","2023","서부로 50","-","중개거래","울산 동구","-"
"75","울산광역시 동구 방어동","971","0971","0000","꽃바위현대","59.7000","202606","16","8,950","-","5","개인","개인","1995","화잠9길 45","-","중개거래","울산 동구","-"
"76","울산광역시 북구 매곡동","532","0532","0000","매곡현대아파트(101~106동)","49.8050","202606","16","10,000","-","6","개인","개인","1994","매곡1로 13","-","중개거래","울산 북구","-"
"77","울산광역시 북구 화봉동","667-1","0667","0001","한우리","99.8400","202606","16","27,000","-","13","개인","개인","1994","상방로 12","-","중개거래","울산 북구","-"
"78","울산광역시 중구 성안동","792-3","0792","0003","대협팔래스","84.3578","202606","16","18,500","-","5","개인","개인","2005","함월로 46","-","중개거래","울산 중구","-"
"79","울산광역시 중구 우정동","369-1","0369","0001","선경2차","84.9400","202606","16","38,800","-","15","개인","개인","1997","유곡로 10","-","중개거래","울산 중구","-"
"80","울산광역시 남구 옥동","1386","1386","0000","도성","50.2500","202606","16","20,000","-","2","개인","개인","1987","문수로369번길 58","-","중개거래","울산 남구","-"
"81","울산광역시 동구 동부동","150","0150","0000","현대패밀리동부","59.7800","202606","15","10,200","105","10","개인","개인","1993","안산로 50","-","중개거래","울산 동구","26.06.15"
"82","울산광역시 북구 중산동","1317-3","1317","0003","U-스타시티일동미라주더스타2단지","73.4718","202606","15","30,000","-","5","개인","개인","2018","중산로 47","-","중개거래","울산 북구","-"
"83","울산광역시 남구 무거동","220-1","0220","0001","부성타워맨션","84.5750","202606","15","18,750","-","3","개인","개인","1989","북부순환도로 43","-","중개거래","울산 남구","-"
"84","울산광역시 중구 남외동","506-1","0506","0001","남외푸르지오1차","101.6000","202606","15","56,800","-","7","개인","개인","2006","남외3길 33","-","중개거래","울산 중구","-"
"85","울산광역시 남구 야음동","811-3","0811","0003","신선산아드리아","84.9100","202606","15","32,500","-","12","개인","법인","2020","여천로5번길 45","-","직거래","-","-"
"86","울산광역시 중구 우정동","369-1","0369","0001","선경2차","99.5500","202606","15","45,000","-","7","개인","개인","1997","유곡로 10","-","중개거래","울산 중구","-"
"87","울산광역시 중구 우정동","369-1","0369","0001","선경2차","59.7400","202606","15","26,500","-","19","개인","개인","1997","유곡로 10","-","중개거래","울산 중구","-"
"88","울산광역시 중구 우정동","369-1","0369","0001","선경2차","59.7400","202606","15","29,000","-","21","개인","개인","1997","유곡로 10","-","중개거래","울산 중구","-"
"89","울산광역시 남구 야음동","878","0878","0000","롯데캐슬골드1단지","116.8200","202606","15","57,800","-","6","개인","개인","2008","신선로 45","-","중개거래","울산 남구","-"
"90","울산광역시 남구 삼산동","172-1","0172","0001","세양청구마을","84.9900","202606","15","35,800","-","6","개인","개인","1997","돋질로401번길 12","-","중개거래","울산 남구","-"
"91","울산광역시 북구 양정동","500-33","0500","0033","양정힐스테이트","59.9790","202606","15","23,700","-","14","개인","개인","2007","염포로 459","-","중개거래","울산 북구","-"
"92","울산광역시 북구 산하동","969-1","0969","0001","울산블루마시티서희스타힐스블루원아파트","84.5605","202606","15","27,800","-","4","개인","개인","2016","산하중앙3로 142","-","중개거래","울산 북구","-"
"93","울산광역시 북구 상안동","381-1","0381","0001","쌍용아진그린타운2","59.9800","202606","15","16,500","-","9","개인","개인","1996","아진로 75","-","중개거래","울산 북구","-"
"94","울산광역시 북구 달천동","886","0886","0000","달천아이파크2차(2단지)","84.9520","202606","15","32,000","-","20","개인","개인","2008","달천로 103-19","-","중개거래","울산 북구, 울산 울주군","-"
"95","울산광역시 북구 신천동","799","0799","0000","신천효성해링턴플레이스","59.5699","202606","15","29,300","-","6","개인","개인","2018","신천로 26","-","중개거래","울산 북구","-"
"96","울산광역시 북구 신천동","799","0799","0000","신천효성해링턴플레이스","59.5699","202606","15","30,200","-","15","개인","개인","2018","신천로 26","-","중개거래","울산 북구","-"
"97","울산광역시 동구 서부동","1055","1055","0000","울산지웰시티자이2단지","84.9957","202606","15","54,300","-","8","개인","개인","2023","서부로 51","-","중개거래","울산 동구","-"
"98","울산광역시 동구 서부동","1055","1055","0000","울산지웰시티자이2단지","84.9976","202606","15","58,500","-","30","개인","개인","2023","서부로 51","-","중개거래","울산 동구","-"
"99","울산광역시 동구 서부동","1049","1049","0000","울산지웰시티자이1단지","59.9908","202606","15","44,900","-","9","개인","개인","2023","서부로 50","-","중개거래","울산 동구","-"
"100","울산광역시 동구 서부동","1049","1049","0000","울산지웰시티자이1단지","59.9908","202606","15","44,900","-","9","개인","개인","2023","서부로 50","-","중개거래","울산 동구","-"
"101","울산광역시 남구 신정동","569-2","0569","0002","문수로드림파크","51.6947","202606","15","25,000","-","21","개인","개인","2022","월평로21번길 28","-","중개거래","울산 남구","-"
"102","울산광역시 동구 전하동","549-14","0549","0014","현대패밀리전하","59.9600","202606","15","17,000","105","8","개인","개인","1997","녹수11길 50","-","직거래","-","26.06.15"
"103","울산광역시 동구 전하동","660-1","0660","0001","울산전하푸르지오1단지","151.9027","202606","15","57,800","-","24","개인","개인","2011","봉수로 250","-","중개거래","울산 동구","-"
"104","울산광역시 동구 화정동","149-2","0149","0002","대송현대2","59.7800","202606","15","12,900","-","4","개인","개인","1991","대송3길 10","-","중개거래","울산 동구","-"
"105","울산광역시 동구 방어동","971","0971","0000","꽃바위현대","59.7000","202606","15","8,850","-","3","개인","개인","1995","화잠9길 45","-","중개거래","울산 동구","-"
"106","울산광역시 북구 천곡동","410-1","0410","0001","쌍용아진그린4","84.9200","202606","15","21,900","-","10","개인","개인","1998","천곡남로 38","-","중개거래","울산 북구","-"
"107","울산광역시 울주군 범서읍 천상리","578","0578","0000","청구(천상그린타운)1차","59.8400","202606","15","10,500","-","10","개인","개인","1998","평천길 94","-","중개거래","울산 울주군","-"
"108","울산광역시 울주군 범서읍 천상리","600","0600","0000","그린코아","84.8500","202606","15","18,050","-","1","개인","개인","1999","천상6길 6","-","중개거래","울산 울주군","-"
"109","울산광역시 남구 야음동","594-37","0594","0037","신정현대홈타운1","59.9700","202606","14","34,300","-","14","개인","개인","1999","대암로 81","-","중개거래","울산 남구","-"
"110","울산광역시 울주군 범서읍 굴화리","743-2","0743","0002","문수산동원로얄듀크","99.9959","202606","14","78,000","-","8","개인","개인","2017","장검길 60","-","중개거래","울산 울주군","-"
"111","울산광역시 울주군 삼남읍 교동리","1678","1678","0000","경동우신알프스타운","45.0646","202606","14","6,500","-","12","개인","개인","2015","작괘들길 41","-","중개거래","울산 울주군","-"
"112","울산광역시 북구 매곡동","422-2","0422","0002","현대파크맨션","84.9600","202606","14","17,500","-","4","개인","개인","1996","신기3길 19-6","-","중개거래","울산 북구","-"
"113","울산광역시 북구 매곡동","532","0532","0000","매곡현대아파트(101~106동)","49.8050","202606","14","10,500","-","8","개인","개인","1994","매곡1로 13","-","중개거래","울산 북구","-"
"114","울산광역시 동구 화정동","949","0949","0000","힐스테이트 이스턴베이","68.9187","202606","14","32,200","-","9","개인","개인","2015","화진길 100","-","중개거래","울산 동구","-"
