"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-08-05 ~ 2026-08-05"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","충청북도 청주시 상당구 금천동","311","0311","0000","장자마을부영그린타운2차","84.8612","202608","04","25,600","-","12","개인","개인","2005","수영로 294","-","중개거래","충북 청주시 상당구","-"
"2","충청북도 청주시 상당구 용암동","2060","2060","0000","부영","50.4900","202608","04","8,100","-","13","개인","개인","1996","월평로 243","-","중개거래","충북 청주시 상당구","-"
"3","충청북도 청주시 서원구 모충동","553","0553","0000","청주모충LH트릴로채","74.8900","202608","04","32,500","-","9","개인","개인","2021","쌍샘로 22","-","중개거래","충북 청주시 서원구","-"
"4","충청북도 청주시 상당구 탑동","390","0390","0000","센트럴힐데스하임","84.8470","202608","04","41,900","-","21","개인","개인","2022","용담로 50","-","중개거래","충북 청주시 상당구, 충북 청주시 서원구","-"
"5","충청북도 청주시 서원구 개신동","708","0708","0000","라임스토리","23.1800","202608","04","3,700","-","4","개인","개인","2012","복대로17번길 23","-","중개거래","충북 청주시 흥덕구","-"
"6","충청북도 청주시 흥덕구 복대동","3405","3405","0000","더샵청주센트럴","74.9900","202608","04","44,000","-","2","개인","개인","2025","복대로 220","-","직거래","-","-"
"7","충청북도 청주시 서원구 개신동","708","0708","0000","라임스토리","24.1200","202608","04","3,500","-","2","개인","개인","2012","복대로17번길 23","-","직거래","-","-"
"8","충청북도 청주시 청원구 오창읍 각리","639-4","0639","0004","오창반도유보라퍼스티지","59.9721","202608","04","39,000","-","22","개인","개인","2024","과학산업3로 216","-","직거래","-","-"
"9","충청북도 청주시 청원구 오창읍 각리","646-1","0646","0001","우림필유2차","59.9101","202608","04","22,900","-","14","개인","개인","2006","오창중앙로 65","-","중개거래","충북 청주시 청원구","-"
"10","충청북도 청주시 흥덕구 옥산면 가락리","953","0953","0000","흥덕코오롱하늘채아파트","84.9824","202608","04","24,000","-","6","개인","개인","2016","가락길 60","-","중개거래","충북 청주시 흥덕구","-"
"11","충청북도 충주시 연수동","701-9","0701","0009","연수부강","59.4900","202608","04","8,800","-","8","개인","개인","1995","후곡길 19","-","중개거래","충북 충주시","-"
"12","충청북도 충주시 안림동","1167","1167","0000","충주안림엘에이치천년나무1단지","74.8900","202608","04","28,000","-","2","개인","개인","2015","봉현로 365","-","중개거래","충북 충주시","-"
"13","충청북도 음성군 음성읍 읍내리","350-1","0350","0001","삼보","84.9400","202608","04","9,800","-","4","개인","개인","1993","시장로 45","-","중개거래","충북 음성군","-"
"14","충청북도 충주시 중앙탑면 용전리","654","0654","0000","포레나서충주","84.9986","202608","04","36,400","-","10","개인","개인","2023","기업도시로 211","-","중개거래","충북 충주시","-"
"15","충청북도 음성군 대소읍 태생리","79-5","0079","0005","대소한양1차","40.8000","202608","04","4,950","-","9","개인","개인","1997","대화1길 58-12","-","중개거래","충북 음성군","-"
"16","충청북도 음성군 감곡면 오향리","405-16","0405","0016","드림타워","39.7440","202608","03","5,000","-","5","개인","개인","2011","거일길 27-38","-","중개거래","충북 음성군","-"
"17","충청북도 청주시 서원구 산남동","1103","1103","0000","청주현진에버빌","84.9840","202608","03","26,000","-","5","개인","개인","2006","탑골로 6","-","중개거래","충북 청주시 상당구, 충북 청주시 서원구","-"
"18","충청북도 청주시 흥덕구 강서동","503","0503","0000","강서베리굿","49.9305","202608","03","14,400","-","14","개인","개인","2015","서현중로 63","-","중개거래","충북 청주시 흥덕구","-"
"19","충청북도 청주시 흥덕구 가경동","1695","1695","0000","가경푸르지오","125.1409","202608","03","37,000","-","7","개인","개인","2006","2순환로1375번길 20","-","중개거래","충북 청주시 흥덕구","-"
"20","충청북도 청주시 상당구 북문로3가","123","0123","0000","청주행정타운코아루휴티스","84.6871","202608","03","46,500","-","49","개인","개인","2020","중앙로 80","-","중개거래","충북 청주시 상당구","-"
"21","충청북도 청주시 상당구 금천동","275","0275","0000","장자마을부영(275-7단지)","59.2962","202608","03","15,800","-","7","개인","개인","2001","중고개로 288","-","중개거래","충북 청주시 상당구","-"
"22","충청북도 청주시 흥덕구 오송읍 연제리","726","0726","0000","모아미래도","84.8683","202608","03","39,000","-","17","개인","개인","2010","오송생명3로 87","-","중개거래","충북 청주시 흥덕구","-"
"23","충청북도 청주시 서원구 분평동","1261","1261","0000","분평주공4","59.9900","202608","03","15,000","-","7","개인","개인","1999","1순환로1137번길 80","-","직거래","-","-"
"24","충청북도 충주시 중앙탑면 용전리","721","0721","0000","충주시티자이","59.9959","202608","03","20,000","-","11","개인","개인","2017","원앙4길 51","-","중개거래","충북 충주시","-"
"25","충청북도 충주시 중앙탑면 용전리","654","0654","0000","포레나서충주","84.9986","202608","03","37,450","-","11","개인","개인","2023","기업도시로 211","-","중개거래","충북 충주시","-"
"26","충청북도 충주시 호암동","1191","1191","0000","호암힐데스하임","99.8700","202608","03","51,500","-","4","개인","개인","2019","호암토성2로 1","-","중개거래","충북 충주시","-"
"27","충청북도 제천시 청전동","480-4","0480","0004","성한","45.3600","202608","03","5,300","-","3","개인","개인","1991","명륜로2길 12","-","중개거래","충북 제천시","-"
"28","충청북도 제천시 고암동","1129-1","1129","0001","금용","59.9100","202608","03","8,500","-","10","개인","개인","1993","용두천로44길 5","-","중개거래","충북 제천시","-"
"29","충청북도 제천시 고암동","1268","1268","0000","고암오네뜨","59.9689","202608","03","26,500","-","18","개인","개인","2017","신죽하로 83-20","-","중개거래","충북 제천시","-"
"30","충청북도 충주시 대소원면 본리","649","0649","0000","중앙하이츠프리미어충주","84.9600","202608","03","25,600","-","15","개인","개인","2023","첨단산업4로 54","-","중개거래","충북 충주시","-"
