"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-01-01 ~ 2026-06-21"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","충청북도 진천군 진천읍 교성리","466","0466","0000","진천풍림아이원트리니움","74.9600","202606","19","27,500","-","20","개인","개인","2025","대학로 36","-","직거래","-","-"
"2","충청북도 충주시 용산동","1680","1680","0000","용산주공3차","51.4900","202606","19","12,500","-","5","개인","개인","2003","남산로 114","-","중개거래","충북 충주시","-"
"3","충청북도 충주시 연수동","1767","1767","0000","충주센트럴푸르지오","84.9593","202606","19","47,800","-","23","개인","개인","2018","연수서편2길 11","-","중개거래","충북 충주시","-"
"4","충청북도 청주시 흥덕구 옥산면 가락리","953","0953","0000","흥덕코오롱하늘채아파트","84.9824","202606","19","23,100","-","1","개인","개인","2016","가락길 60","-","중개거래","충북 청주시 흥덕구","-"
"5","충청북도 청주시 청원구 사천동","444-1","0444","0001","사천동대창2차101동","49.6752","202606","19","8,250","-","13","개인","개인","2000","새터로 186","-","중개거래","충북 청주시 청원구","-"
"6","충청북도 청주시 흥덕구 가경동","2236","2236","0000","청주가경아이파크2단지","105.5800","202606","19","76,000","-","21","개인","개인","2020","서현로 68","-","중개거래","충북 청주시 흥덕구","-"
"7","충청북도 청주시 흥덕구 가경동","2251","2251","0000","청주가경아이파크4단지","84.8743","202606","19","59,500","-","13","개인","개인","2022","홍골로 82","-","중개거래","충북 청주시 흥덕구","-"
"8","충청북도 청주시 상당구 탑동","42","0042","0000","보성트윈힐스","38.8900","202606","19","6,500","-","6","개인","개인","1998","중고개로 349","-","중개거래","충북 청주시 상당구","-"
"9","충청북도 충주시 대소원면 본리","642","0642","0000","충주지웰","59.2483","202606","19","12,600","-","10","개인","개인","2016","첨단산업2로 42","-","직거래","-","-"
"10","충청북도 충주시 연수동","1767","1767","0000","충주센트럴푸르지오","84.9589","202606","19","44,500","-","14","개인","개인","2018","연수서편2길 11","-","직거래","-","-"
