"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-01-01 ~ 2026-06-21"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전북특별자치도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","전북특별자치도 익산시 신동","764-4","0764","0004","씨즈퍼스트","18.0700","202606","19","10,000","-","2","개인","개인","2013","익산대로68길 51","-","중개거래","전북 익산시","-"
"2","전북특별자치도 군산시 미룡동","900-1","0900","0001","주공3차","59.4200","202606","19","10,500","-","2","개인","개인","2002","미룡로 42","-","중개거래","전북 군산시","-"
"3","전북특별자치도 전주시 덕진구 장동","1052-2","1052","0002","장동에코르","84.8500","202606","19","25,000","-","7","개인","개인","2009","정암길 19","-","중개거래","전북 전주시 덕진구","-"
"4","전북특별자치도 전주시 완산구 중화산동2가","190","0190","0000","중화산동광진","84.9900","202606","19","18,500","-","4","개인","개인","1998","선너머로 16","-","중개거래","전북 전주시 완산구","-"
"5","전북특별자치도 군산시 수송동","829-2","0829","0002","수송아이파크","119.9488","202606","19","39,700","-","7","개인","개인","2008","수송동로 91","-","중개거래","전북 군산시","-"
"6","전북특별자치도 전주시 덕진구 여의동2가","779","0779","0000","동산동골드클래스","84.6639","202606","19","28,800","-","4","개인","개인","2015","쪽구름5길 43-7","-","중개거래","전북 전주시 덕진구","-"
"7","전북특별자치도 전주시 덕진구 반월동","1241","1241","0000","반월동세움펠리피아2차아파트","64.6216","202606","19","30,200","-","6","개인","개인","2019","혁신로 727","-","중개거래","전북 전주시 덕진구","-"
"8","전북특별자치도 김제시 금산면 성계리","445-1","0445","0001","명산","59.9700","202606","19","3,000","-","1","개인","개인","1992","원평12길 23","-","직거래","-","-"
"9","전북특별자치도 정읍시 수성동","918-1","0918","0001","수성주공2단지","58.1400","202606","19","8,800","-","5","개인","개인","1995","수성2로 13-11","-","중개거래","전북 정읍시","-"
"10","전북특별자치도 정읍시 수성동","952-1","0952","0001","부영1차","59.9330","202606","19","9,100","-","10","개인","개인","2000","수성택지2길 17","-","중개거래","전북 정읍시","-"
"11","전북특별자치도 전주시 덕진구 반월동","1231","1231","0000","세움펠리피아","59.9349","202606","19","21,500","-","12","개인","개인","2016","쪽구름2길 9","-","중개거래","전북 전주시 덕진구","-"
"12","전북특별자치도 전주시 완산구 중화산동1가","223-6","0223","0006","거성근영(2)","84.4600","202606","19","14,000","-","6","개인","개인","1995","선너머로 36-9","-","직거래","-","-"
"13","전북특별자치도 완주군 이서면 갈산리","645","0645","0000","이노힐스아파트","84.9800","202606","19","42,900","-","11","개인","개인","2013","갈산1로 71","-","중개거래","전북 완주군","-"
"14","전북특별자치도 순창군 순창읍 순화리","943","0943","0000","온리뷰","77.7230","202606","19","22,000","-","12","개인","개인","2017","금산로 22","-","직거래","-","-"
"15","전북특별자치도 고창군 고창읍 읍내리","56-2","0056","0002","성산","59.8080","202606","18","5,000","-","5","개인","개인","1998","동리로 172-14","-","중개거래","전북 고창군","-"
"16","전북특별자치도 군산시 지곡동","607","0607","0000","쌍용예가","84.9829","202606","18","27,900","-","8","개인","개인","2014","계산로 71","-","중개거래","전북 군산시","-"
"17","전북특별자치도 전주시 덕진구 송천동2가","1290","1290","0000","송천신동아파밀리에","84.8772","202606","18","34,500","-","3","개인","개인","2015","두간4길 14","-","중개거래","전북 전주시 덕진구","-"
"18","전북특별자치도 군산시 대명동","403","0403","0000","현대메트로타워2차","84.9303","202606","18","22,500","-","5","개인","개인","2016","구암3.1로 30","-","직거래","-","-"
"19","전북특별자치도 군산시 나운동","155","0155","0000","나운세경아파트","53.8200","202606","18","5,500","-","6","개인","개인","2002","하나운로 28","-","중개거래","전북 군산시","-"
"20","전북특별자치도 장수군 장수읍 장수리","671","0671","0000","장수부경스카이","84.9812","202606","18","30,600","-","3","개인","개인","2018","하비길 32","-","중개거래","전북 장수군","-"
"21","전북특별자치도 전주시 완산구 태평동","305","0305","0000","태평아이파크","84.7940","202606","18","58,400","-","6","개인","개인","2022","태진로 35","-","중개거래","전북 전주시 덕진구","-"
"22","전북특별자치도 전주시 덕진구 장동","1075","1075","0000","호반베르디움6단지","111.0137","202606","18","70,000","-","18","개인","개인","2016","출판로 69","-","중개거래","전북 전주시 덕진구","-"
"23","전북특별자치도 익산시 송학동","245-2","0245","0002","송학동리젠시빌2단지","84.5060","202606","18","15,300","-","1","개인","개인","2002","배산로 39-6","-","중개거래","전북 익산시","-"
"24","전북특별자치도 완주군 봉동읍 낙평리","47","0047","0000","봉동한신2차","59.9260","202606","18","6,900","-","5","개인","개인","1999","하보상길 18-6","-","중개거래","전북 완주군, 전북 전주시 덕진구","-"
"25","전북특별자치도 전주시 완산구 평화동1가","445-1","0445","0001","전주평화근로복지,주공임대아파트(평화주공1단지,평화주공3단지)","38.6400","202606","18","5,300","-","5","개인","개인","1992","덕적골2길 10","-","중개거래","전북 전주시 완산구","-"
"26","전북특별자치도 전주시 완산구 서신동","961","0961","0000","동아한일","59.7060","202606","18","17,400","-","12","개인","개인","1999","새터로 95","-","중개거래","전북 전주시 완산구","-"
"27","전북특별자치도 완주군 삼례읍 수계리","1229-1","1229","0001","완주중흥S-클래스에듀파크","84.9959","202606","18","47,800","-","7","개인","개인","2023","삼봉5로 22","-","중개거래","전북 완주군","-"
"28","전북특별자치도 김제시 신풍동","63","0063","0000","부영(3차)","59.9330","202606","18","11,900","-","17","개인","개인","2000","도작로 33","-","중개거래","전북 김제시","-"
"29","전북특별자치도 전주시 완산구 태평동","305","0305","0000","태평아이파크","84.7940","202606","18","62,700","-","14","개인","개인","2022","태진로 35","-","중개거래","전북 전주시 완산구","-"
"30","전북특별자치도 전주시 완산구 삼천동1가","722-2","0722","0002","삼천하이츠","59.9400","202606","18","14,700","-","2","개인","개인","1997","강변로 106","-","중개거래","전북 전주시 완산구","-"
"31","전북특별자치도 군산시 소룡동","1386-10","1386","0010","진흥아파트","43.7200","202606","18","3,800","-","6","개인","개인","1991","설림안3길 32","-","중개거래","전북 군산시","-"
"32","전북특별자치도 익산시 모현동2가","675","0675","0000","배산제일오투그란데","84.7501","202606","18","29,500","-","21","개인","개인","2014","선화로 17","-","중개거래","전북 익산시","-"
"33","전북특별자치도 군산시 오식도동","806-3","0806","0003","한성필하우스","59.9370","202606","18","9,450","-","6","개인","개인","2012","요죽길 76","-","중개거래","전북 군산시","-"
"34","전북특별자치도 완주군 상관면 신리","607","0607","0000","신세대지큐빌","59.8600","202606","18","7,700","-","17","개인","개인","2001","신리로 99","-","중개거래","전북 완주군","-"
"35","전북특별자치도 완주군 봉동읍 둔산리","873-2","0873","0002","전주과학산업단지벽산e-솔렌스힐","84.9969","202606","18","18,000","-","1","개인","법인","2012","둔산3로 119-7","-","중개거래","전북 완주군","-"
"36","전북특별자치도 정읍시 연지동","636","0636","0000","정읍연지영무예다음주상복합","127.1871","202606","18","56,000","-","16","개인","개인","2020","중앙로 49","-","중개거래","전북 정읍시","-"
"37","전북특별자치도 군산시 내흥동","924","0924","0000","군산신역세권우미린센텀오션","84.8707","202606","18","40,000","-","10","개인","개인","2024","정자로 45","-","중개거래","전북 군산시","-"
"38","전북특별자치도 전주시 완산구 평화동2가","953","0953","0000","평화동엠코타운","84.9724","202606","18","37,000","-","4","개인","개인","2013","양지3길 25","-","중개거래","전북 전주시 완산구","-"
"39","전북특별자치도 전주시 완산구 평화동2가","843-1","0843","0001","동아현대","84.7900","202606","18","26,000","-","7","개인","개인","1999","맏내3길 22","-","중개거래","전북 전주시 완산구","-"
"40","전북특별자치도 전주시 덕진구 송천동1가","12-10","0012","0010","송천진흥더블파크","84.9707","202606","18","42,400","-","13","개인","개인","2008","천마산로 100","-","중개거래","전북 전주시 덕진구","-"
"41","전북특별자치도 완주군 삼례읍 수계리","1229-1","1229","0001","완주중흥S-클래스에듀파크","84.9959","202606","18","48,900","-","12","개인","개인","2023","삼봉5로 22","-","중개거래","전북 완주군","-"
"42","전북특별자치도 전주시 덕진구 송천동2가","1308","1308","0000","에코시티자이","84.9839","202606","18","60,000","-","14","개인","개인","2017","세병로 111","-","중개거래","전북 전주시 덕진구","-"
"43","전북특별자치도 군산시 미룡동","858","0858","0000","대명1차(201동)","39.9600","202606","18","3,100","-","2","개인","개인","1998","칠성4길 20","-","중개거래","전북 군산시","-"
