"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-01-01 ~ 2026-06-21"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전라남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","전라남도 무안군 일로읍 오룡리","111","0111","0000","오룡에듀포레푸르지오(2단지)","84.9783","202606","19","40,500","-","2","개인","개인","2020","오룡중앙동로 65","-","중개거래","전남 무안군","-"
"2","전라남도 여수시 소호동","423","0423","0000","여수주은금호2,3단지","64.0160","202606","19","11,300","-","15","개인","개인","2002","소호5길 39","-","중개거래","전남 여수시","-"
"3","전라남도 나주시 용산동","344","0344","0000","용산2단지주공","49.6200","202606","19","3,800","-","12","법인","개인","1999","영나로 2421","-","직거래","-","-"
"4","전라남도 나주시 대호동","307-5","0307","0005","호반","28.9800","202606","19","3,500","-","6","개인","개인","1996","건재로 209","-","중개거래","전남 나주시","-"
"5","전라남도 나주시 빛가람동","394","0394","0000","빛가람엘에이치1단지","84.9600","202606","19","21,500","-","7","개인","개인","2015","그린로 63","-","중개거래","전남 나주시","-"
"6","전라남도 여수시 봉계동","2","0002","0000","신동아","59.8600","202606","19","8,700","-","2","개인","개인","1997","좌수영로 682-26","-","직거래","-","-"
"7","전라남도 광양시 태인동","397-1","0397","0001","선미","59.8920","202606","18","3,300","-","7","개인","개인","1995","담안2길 36-10","-","직거래","-","-"
"8","전라남도 나주시 빛가람동","550","0550","0000","빛가람이지더원","80.9462","202606","18","26,500","-","10","개인","개인","2017","호수로 10","-","중개거래","전남 나주시","-"
"9","전라남도 장흥군 장흥읍 건산리","752","0752","0000","한빛맨션","73.8900","202606","18","5,000","-","5","개인","개인","1991","동교1길 10-5","-","중개거래","전남 장흥군","-"
"10","전라남도 광양시 마동","1019","1019","0000","금광블루빌","59.9300","202606","18","7,000","-","12","개인","개인","2002","진등6길 11","-","중개거래","전남 광양시","-"
"11","전라남도 곡성군 곡성읍 읍내리","724-1","0724","0001","해든센트럴","82.1783","202606","18","18,000","-","6","개인","개인","2018","학교로 87","-","중개거래","전남 곡성군","-"
"12","전라남도 순천시 조례동","807","0807","0000","동아","84.8800","202606","18","12,500","-","10","개인","개인","1993","비봉길 70","-","중개거래","전남 순천시","-"
"13","전라남도 광양시 중동","1665","1665","0000","성호2차(206~215동)","59.7900","202606","18","5,000","-","19","개인","개인","2006","광장로 70","-","중개거래","전남 광양시","-"
"14","전라남도 영암군 삼호읍 용앙리","390-1","0390","0001","영암삼호퀸스빌2차","59.8044","202606","18","5,400","-","14","개인","개인","2006","삼호중앙로 129","-","중개거래","전남 영암군","-"
"15","전라남도 광양시 광양읍 용강리","893","0893","0000","창덕에버빌2단지","84.7600","202606","18","8,700","-","9","개인","개인","2001","용강1길 12","-","중개거래","전남 광양시","-"
"16","전라남도 광양시 광양읍 덕례리","1849","1849","0000","세미존서희스타힐스","80.9458","202606","18","27,000","-","13","개인","개인","2023","무선2길 15","-","중개거래","전남 광양시","-"
"17","전라남도 목포시 상동","886","0886","0000","우성","59.9000","202606","18","10,000","-","4","개인","개인","1994","신흥로 13","-","중개거래","전남 목포시","-"
"18","전라남도 광양시 광영동","755-1","0755","0001","가야","49.9650","202606","18","3,000","-","4","개인","개인","1992","가야로 380","-","직거래","-","-"
"19","전라남도 곡성군 옥과면 죽림리","101-1","0101","0001","성암맨션","59.4000","202606","18","8,000","-","14","개인","개인","1998","죽림2길 45","-","중개거래","전남 곡성군","-"
"20","전라남도 순천시 연향동","1626-1","1626","0001","호반리젠시빌1","36.0660","202606","17","6,680","-","13","개인","개인","2000","안산길 5","-","중개거래","전남 순천시","-"
"21","전라남도 화순군 화순읍 대리","121","0121","0000","대광로제비앙2차","39.3600","202606","17","5,300","-","8","개인","개인","1998","칠충로 44","-","중개거래","광주 서구","-"
"22","전라남도 나주시 금천면 석전리","619","0619","0000","빛가람코오롱하늘채","59.9635","202606","17","25,000","117동","9","개인","개인","2022","천석길 35","-","직거래","-","26.06.17"
"23","전라남도 순천시 연향동","1628","1628","0000","호반리젠시빌2차","59.8774","202606","17","11,400","207","13","법인","개인","2002","도장길 50","-","중개거래","전남 순천시","26.06.17"
