"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-01-01 ~ 2026-06-21"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경상북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경상북도 포항시 남구 대송면 제내리","1071","1071","0000","개나리","35.9100","202606","19","1,100","-","4","개인","개인","1987","제내길36번길 5-6","-","직거래","-","-"
"2","경상북도 김천시 신음동","394-3","0394","0003","현대1","84.6020","202606","19","17,000","-","1","개인","개인","1996","시청로 46","-","중개거래","경북 김천시","-"
"3","경상북도 포항시 남구 대잠동","1036","1036","0000","포항자이아파트","84.9625","202606","19","40,000","-","32","개인","개인","2018","상도남로 11","-","중개거래","경북 포항시 남구","-"
"4","경상북도 김천시 신음동","394-3","0394","0003","현대1","84.6020","202606","19","18,000","-","15","개인","개인","1997","시청로 46","-","중개거래","경북 김천시","-"
"5","경상북도 칠곡군 약목면 관호리","952","0952","0000","삼주강변타운","50.0000","202606","19","3,000","-","5","개인","개인","1993","관호8길 28-18","-","중개거래","경북 칠곡군","-"
"6","경상북도 예천군 호명읍 산합리","1393","1393","0000","동일스위트더파크","84.7978","202606","19","31,000","-","9","개인","개인","2019","행복로 177","-","직거래","-","-"
"7","경상북도 구미시 인의동","1029","1029","0000","구미인동하늘채디어반2차","109.6596","202606","18","47,569","-","7","개인","개인","2025","여헌로10길 26","-","중개거래","경북 구미시","-"
"8","경상북도 경산시 하양읍 동서리","1218","1218","0000","하양2차코아루","75.9994","202606","18","21,900","-","26","개인","개인","2017","하양로37길 19","-","중개거래","경북 경산시","-"
"9","경상북도 경주시 건천읍 화천리","2701","2701","0000","신경주더퍼스트데시앙","84.6421","202606","18","37,400","-","7","개인","개인","2024","경주역세권1로 47","-","중개거래","경북 경주시","-"
"10","경상북도 구미시 도량동","88","0088","0000","주공3","49.7700","202606","18","5,400","-","1","개인","개인","1993","송동로 147","-","중개거래","경북 구미시","-"
"11","경상북도 구미시 산동읍 신당리","1383","1383","0000","우미린센트럴파크","59.9527","202606","18","18,000","-","3","개인","개인","2017","신당3로 16","-","중개거래","대구 수성구","-"
"12","경상북도 포항시 남구 해도동","12-1","0012","0001","축복맨션(12-1)","81.1300","202606","18","6,500","-","5","개인","개인","2004","양학천로 232","-","직거래","-","-"
"13","경상북도 구미시 사곡동","503-2","0503","0002","상모사곡화성파크드림","84.4792","202606","18","21,700","-","12","개인","개인","2008","박정희로 236-8","-","중개거래","경북 구미시","-"
"14","경상북도 구미시 사곡동","656-9","0656","0009","보성2황실타운","59.9900","202606","18","9,200","-","3","개인","개인","2001","상사동로28길 11","-","중개거래","경북 구미시","-"
"15","경상북도 영주시 상망동","834","0834","0000","코아루","84.9197","202606","18","26,900","-","10","개인","개인","2007","원당로225번길 67","-","중개거래","경북 영주시","-"
"16","경상북도 포항시 북구 두호동","1102-1","1102","0001","창포아이파크2차","134.1000","202606","18","27,500","-","21","개인","개인","2005","대곡로 21","-","중개거래","경북 포항시 북구","-"
"17","경상북도 칠곡군 왜관읍 왜관리","298-10","0298","0010","우방타운","84.9950","202606","18","19,450","-","13","개인","개인","1992","중앙로 118","-","중개거래","경북 칠곡군","-"
"18","경상북도 문경시 모전동","387-1","0387","0001","중앙","49.7700","202606","18","6,300","-","3","개인","개인","1987","모전로 113","-","중개거래","경북 문경시","-"
"19","경상북도 영주시 하망동","276-23","0276","0023","코오롱2차","70.7600","202606","18","8,500","-","1","개인","개인","1992","영주로 301","-","직거래","-","-"
"20","경상북도 포항시 북구 용흥동","17","0017","0000","용흥쌍용","59.8000","202606","18","8,000","-","10","개인","개인","1998","용흥로 354","-","중개거래","경북 포항시 남구","-"
"21","경상북도 영천시 망정동","461-1","0461","0001","청솔","47.1934","202606","18","5,000","-","11","개인","개인","2001"," ","-","중개거래","경북 영천시","-"
