"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-01-01 ~ 2026-06-21"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경상남도 김해시 관동동","1121","1121","0000","죽림마을한림풀에버7단지","84.9201","202606","20","33,200","-","17","개인","개인","2013","율하3로 100","-","중개거래","경남 김해시","-"
"2","경상남도 김해시 관동동","448-3","0448","0003","팔판마을부영그린타운8차","84.7888","202606","20","15,500","-","5","개인","개인","2005","계동로 31","-","중개거래","경남 김해시","-"
"3","경상남도 김해시 장유동","873","0873","0000","원메이저힐스테이트","84.9639","202606","20","46,800","-","23","개인","개인","2018","율하5로 99","-","중개거래","경남 김해시","-"
"4","경상남도 김해시 율하동","1370","1370","0000","율현마을이편한세상9단지","84.8720","202606","20","38,700","-","16","개인","개인","2013","율하1로 130","-","중개거래","경남 김해시","-"
"5","경상남도 김해시 관동동","1169","1169","0000","힐스테이트김해","59.8814","202606","20","26,700","-","19","개인","개인","2019","관동로27번길 39","-","중개거래","경남 김해시","-"
"6","경상남도 김해시 율하동","1370","1370","0000","율현마을이편한세상9단지","84.8470","202606","20","37,300","-","6","개인","개인","2013","율하1로 130","-","중개거래","경남 김해시","-"
"7","경상남도 김해시 지내동","561","0561","0000","태림리치몬드하임","60.9004","202606","19","17,000","-","9","개인","법인","2017","분성로707번길 58","-","직거래","-","-"
"8","경상남도 김해시 무계동","578","0578","0000","무계서희스타힐스","71.9605","202606","19","23,200","-","6","개인","개인","2020","장유로307번길 17","-","중개거래","경남 김해시","-"
"9","경상남도 김해시 삼문동","1276","1276","0000","이안센트럴포레장유2단지","84.9638","202606","19","26,000","-","12","개인","개인","2023","대청로261번길 9","-","중개거래","경남 김해시","-"
"10","경상남도 김해시 율하동","1370","1370","0000","율현마을이편한세상9단지","84.8720","202606","19","37,300","-","3","개인","개인","2013","율하1로 130","-","중개거래","경남 김해시","-"
"11","경상남도 김해시 삼문동","62-7","0062","0007","젤미마을8단지파크뷰","59.9610","202606","19","11,000","-","4","개인","개인","2002","대청로210번길 35","-","중개거래","경남 김해시","-"
"12","경상남도 김해시 율하동","1317","1317","0000","율상마을모아미래도6단지","84.6577","202606","19","37,000","-","6","개인","개인","2014","율하1로 90","-","중개거래","경남 김해시","-"
"13","경상남도 김해시 장유동","849","0849","0000","원메이저푸르지오","84.9639","202606","19","43,000","-","11","개인","개인","2018","율하로 479","-","중개거래","경남 김해시","-"
"14","경상남도 양산시 물금읍 가촌리","1272-10","1272","0010","이지더원1차에듀파크","59.9906","202606","19","27,000","-","17","개인","개인","2016","새실로 53","-","중개거래","경남 양산시","-"
"15","경상남도 창원시 마산회원구 양덕동","77-8","0077","0008","마산양덕동동아위드필하임","79.0133","202606","19","32,900","-","16","개인","개인","2017","양덕서로 45-1","-","중개거래","경남 창원시 마산회원구","-"
"16","경상남도 창원시 성산구 대방동","358","0358","0000","대동","49.9400","202606","19","13,700","-","3","개인","개인","1992","대정로 142","-","직거래","-","-"
"17","경상남도 창원시 진해구 제황산동","25-52","0025","0052","대암그린비치맨션A동","84.9100","202606","19","9,500","-","1","개인","개인","1991","속천로23번길 9","-","중개거래","경남 창원시 진해구","-"
"18","경상남도 사천시 동금동","583","0583","0000","금성백조예미지","59.9303","202606","19","20,000","-","8","개인","개인","2019","신항로 64","-","중개거래","경남 사천시","-"
"19","경상남도 창원시 성산구 반림동","10","0010","0000","노블파크","129.4000","202606","19","76,000","-","6","개인","개인","2007","원이대로 449","-","중개거래","경남 창원시 성산구","-"
"20","경상남도 창원시 진해구 풍호동","83-77","0083","0077","한림리츠빌","131.6411","202606","19","38,700","-","13","개인","개인","2005","풍호로 68","-","중개거래","경남 창원시 마산합포구, 경남 창원시 진해구","-"
