"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-01-01 ~ 2026-06-21"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 충청남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","충청남도 공주시 웅진동","산32-10","0032","0010","경일","42.0800","202606","19","4,000","-","4","개인","개인","1991","웅진절골3길 25","-","직거래","-","-"
"2","충청남도 천안시 동남구 목천읍 신계리","127-2","0127","0002","천안목천협성엠파이어","39.8200","202606","19","6,000","-","6","개인","개인","2013","충절로 874","-","직거래","-","-"
"3","충청남도 서산시 읍내동","624-1","0624","0001","대림동신","129.3800","202606","19","16,400","-","11","개인","개인","1994","부춘2로 47","-","직거래","-","-"
"4","충청남도 천안시 서북구 두정동","2063","2063","0000","e편한세상두정3차","84.9959","202606","19","38,500","-","17","개인","개인","2017","북일로 21","-","중개거래","충남 천안시 서북구","-"
"5","충청남도 천안시 서북구 두정동","525-1","0525","0001","대우그린","69.9660","202606","19","18,000","-","4","개인","개인","1996","봉정로 365","-","중개거래","충남 천안시 서북구","-"
"6","충청남도 계룡시 두마면 농소리","971","0971","0000","한라비발디더센트럴","59.9701","202606","19","27,850","-","7","개인","개인","2023","대실남북3길 16","-","중개거래","충남 계룡시","-"
"7","충청남도 천안시 서북구 백석동","930","0930","0000","브라운스톤","84.9920","202606","19","24,300","-","7","개인","개인","2006","번영로 306-15","-","중개거래","충남 아산시, 충남 천안시 서북구","-"
"8","충청남도 예산군 봉산면 대지리","279-4","0279","0004","은행마을","55.9675","202606","19","6,300","-","3","개인","개인","2003","황금뜰로 156","-","직거래","-","-"
"9","충청남도 당진시 원당동","1172","1172","0000","파크빌2차","84.7270","202606","19","18,500","-","14","개인","개인","2005","밤절로 51","-","중개거래","충남 당진시","-"
"10","충청남도 홍성군 홍북읍 신경리","947-1","0947","0001","내포신도시모아미래도메가시티2차","84.9957","202606","18","29,900","-","8","개인","개인","2024","신대로 119","-","중개거래","충남 홍성군","-"
"11","충청남도 당진시 채운동","1117","1117","0000","쉐르빌","124.6700","202606","18","18,300","-","12","개인","개인","2007","대호만로 23-13","-","중개거래","충남 당진시","-"
"12","충청남도 홍성군 홍북읍 신경리","1204","1204","0000","엘에이치스타힐스","84.9200","202606","18","18,900","-","8","개인","개인","2015","홍예로 213","-","중개거래","충남 홍성군","-"
"13","충청남도 태안군 태안읍 삭선리","281-1","0281","0001","해송마을3차","84.9480","202606","18","8,380","-","4","개인","개인","2001","원이로 302","-","직거래","-","-"
"14","충청남도 서천군 마서면 덕암리","314-4","0314","0004","천산","59.7060","202606","18","6,000","-","4","개인","개인","2001","장서로 493","-","직거래","-","-"
"15","충청남도 태안군 태안읍 남문리","808","0808","0000","코아루3차","74.9689","202606","18","22,850","-","3","개인","개인","2020","서해로 1643","-","중개거래","충남 태안군","-"
"16","충청남도 태안군 태안읍 평천리","601","0601","0000","평천혜성","55.1400","202606","18","4,600","-","6","개인","개인","1997","평촌길 15-32","-","직거래","-","-"
"17","충청남도 당진시 송악읍 중흥리","887","0887","0000","당진송악경남아너스빌","59.9340","202606","18","12,000","-","10","개인","개인","2021","중흥1길 50","-","중개거래","충남 당진시","-"
"18","충청남도 당진시 원당동","1248","1248","0000","당진원당주공그린빌","84.9400","202606","18","20,500","-","11","개인","개인","2005","밤절로 104","-","중개거래","충남 당진시","-"
"19","충청남도 당진시 수청동","1852","1852","0000","당진센트레빌르네블루2차","84.9699","202606","18","43,500","-","12","개인","개인","2024","수청중앙로 86","-","중개거래","충남 당진시","-"
"20","충청남도 서산시 예천동","1718","1718","0000","서산예천2지구중흥S-클래스더퍼스트","84.9280","202606","18","46,800","-","21","개인","개인","2021","예천5로 32","-","중개거래","충남 서산시","-"
"21","충청남도 천안시 서북구 두정동","2078","2078","0000","두정역효성해링턴플레이스","51.8700","202606","18","28,000","-","23","개인","개인","2020","봉정로 324","-","중개거래","충남 천안시 서북구","-"
"22","충청남도 천안시 서북구 두정동","2068","2068","0000","한화포레나천안두정","76.7079","202606","18","41,000","-","9","개인","개인","2022","천안대로 980-17","-","중개거래","충남 천안시 동남구, 충남 천안시 서북구","-"
