"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-01-01 ~ 2026-06-22"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","대구광역시 달서구 감삼동","573","0573","0000","죽전역코아루더리브","전세","84.9798","202606","19","32,000","0","15","2023","용산로24길 40","202609~202809","신규","-","","","아파트"
"2","대구광역시 달서구 상인동","1596","1596","0000","상인화성파크드림2단지","월세","84.9900","202606","19","10,259","30","2","2010","송현로7길 9","202607~202807","신규","-","","","아파트"
"3","대구광역시 달서구 상인동","1524","1524","0000","동서","월세","134.9700","202606","19","2,000","83","3","1993","상인서로 39","202607~202807","신규","-","","","아파트"
"4","대구광역시 달서구 상인동","1517","1517","0000","상인영남화성타운","전세","59.9400","202606","19","12,000","0","9","1993","상인서로 76","202607~202807","신규","-","","","아파트"
"5","대구광역시 북구 사수동","812","0812","0000","서희스타힐스테이","월세","74.9910","202606","19","13,000","24","8","2019","내곡로 90","202608~202808","신규","-","","","아파트"
"6","대구광역시 수성구 신매동","581","0581","0000","시지태성맨션","전세","59.9600","202606","19","13,000","0","1","1994","고산로 50","202609~202809","신규","-","","","아파트"
"7","대구광역시 동구 신천동","1514","1514","0000","동대구역더샵센터시티","전세","84.9185","202606","19","29,400","0","20","2022","동부로19길 18","202606~202806","갱신","사용","28,000","0","아파트"
"8","대구광역시 수성구 노변동","742","0742","0000","수성알파시티청아람","월세","19.9732","202606","19","3,476","4","2","2021","알파시티2로 96","202607~202806","갱신","-","0","5","아파트"
"9","대구광역시 달서구 장기동","515","0515","0000","장기국민임대","월세","46.1900","202606","19","2,665","22","12","2005","용산로 88","202608~202807","갱신","-","2,469","20","아파트"
"10","대구광역시 수성구 범어동","179","0179","0000","두산위브더제니스","전세","129.0208","202606","19","50,000","0","49","2009","달구벌대로 2435","202610~202809","신규","-","","","아파트"
"11","대구광역시 동구 사복동","852","0852","0000","혁신도시서한e스테이","월세","59.5100","202606","19","9,875","13","16","2020","혁신대로 504","202608~202808","갱신","-","9,875","12","아파트"
"12","대구광역시 달서구 죽전동","645","0645","0000","죽전역에일린의뜰","월세","84.7573","202606","19","5,000","95","19","2024","와룡로 254","202607~202707","갱신","사용","5,000","90","아파트"
"13","대구광역시 수성구 파동","153","0153","0000","대자연맨션1차","월세","79.8450","202606","19","3,000","30","3","1987","파동로 120","202606~202806","신규","-","","","아파트"
"14","대구광역시 수성구 파동","1021","1021","0000","수성레이크우방아이유쉘","전세","84.9906","202606","19","23,000","0","12","2024","파동로32길 100","202609~202809","신규","-","","","아파트"
"15","대구광역시 중구 태평로3가","318","0318","0000","힐스테이트달성공원역","월세","84.9509","202606","19","2,000","110","16","2024","태평로 41","202606~202806","신규","-","","","아파트"
"16","대구광역시 동구 신천동","1525","1525","0000","더샵디어엘로","전세","59.9017","202606","19","24,100","0","20","2025","화랑로 33","202608~202808","갱신","사용","23,000","0","아파트"
"17","대구광역시 북구 연경동","923","0923","0000","연경숲","월세","59.7200","202606","19","9,530","22","2","2020","연경중앙로 55","202608~202807","갱신","-","9,300","20","아파트"
"18","대구광역시 달성군 화원읍 명곡리","101","0101","0000","미래빌2단지","월세","49.2600","202606","19","1,948","30","10","2000","명천로 231","202608~202807","신규","-","","","아파트"
"19","대구광역시 달서구 월성동","1835","1835","0000","월배e-편한세상","전세","59.9694","202606","18","24,000","0","29","2014","월성로 132","202608~202808","신규","-","","","아파트"
"20","대구광역시 달성군 다사읍 죽곡리","152","0152","0000","강창태성그린시티","월세","59.9700","202606","18","2,000","60","20","1996","죽곡2길 6","202606~202706","신규","-","","","아파트"
"21","대구광역시 달서구 월성동","1863","1863","0000","월성협성휴포레","월세","102.9285","202606","18","3,000","140","7","2016","조암로10길 11","202607~202807","신규","-","","","아파트"
"22","대구광역시 달서구 월성동","1863","1863","0000","월성협성휴포레","전세","84.9249","202606","18","33,000","0","8","2016","조암로10길 11","202608~202808","신규","-","","","아파트"
"23","대구광역시 달서구 월성동","1894","1894","0000","월성삼정그린코아에듀파크","전세","84.6758","202606","18","30,000","0","28","2022","월성로 100","202606~202706","갱신","사용","30,000","0","아파트"
"24","대구광역시 북구 침산동","1750","1750","0000","침산동2차쌍용예가","전세","75.6263","202606","18","23,000","0","7","2013","성북로9길 12","202606~202806","신규","-","","","아파트"
