"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-01-01 ~ 2026-06-22"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 충청남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","충청남도 천안시 서북구 두정동","2068","2068","0000","한화포레나천안두정","전세","76.7079","202606","21","29,000","0","7","2022","천안대로 980-17","202608~202803","갱신","-","28,000","0","아파트"
"2","충청남도 천안시 서북구 두정동","401-1","0401","0001","e편한세상두정4차","전세","62.6313","202606","21","22,000","0","15","2018","두정공원2길 50","202610~202810","신규","-","","","아파트"
"3","충청남도 천안시 서북구 신당동","705","0705","0000","e편한세상천안부성","전세","59.8520","202606","20","18,000","0","12","2018","천안대로 1287-1","202607~202807","신규","-","","","아파트"
"4","충청남도 천안시 서북구 성성동","827","0827","0000","천안시티자이","전세","59.7738","202606","19","30,000","0","4","2018","성성6로 21","202609~202809","신규","-","","","아파트"
"5","충청남도 당진시 수청동","1544","1544","0000","지엔하임","월세","59.9931","202606","19","16,900","14","5","2022","수청2로 77","-","-","-","","","아파트"
"6","충청남도 천안시 서북구 성정동","785","0785","0000","주공6-1","월세","39.3000","202606","19","500","38","3","1989","서부대로 648-13","202606~202806","신규","-","","","아파트"
"7","충청남도 당진시 수청동","1544","1544","0000","지엔하임","월세","59.9931","202606","19","16,900","2","5","2022","수청2로 77","-","-","-","","","아파트"
"8","충청남도 천안시 서북구 성정동","1433","1433","0000","프라지움10차아파트","월세","53.1200","202606","19","1,000","80","8","2018","성정공원3길 14","202606~202706","신규","-","","","아파트"
"9","충청남도 천안시 동남구 안서동","304-1","0304","0001","동보스타빌","월세","24.1800","202606","19","200","35","4","1996","각원사길 59-5","202608~202702","신규","-","","","아파트"
"10","충청남도 천안시 동남구 신부동","986","0986","0000","신부 디 이스트","전세","72.7000","202606","19","25,119","0","24","2018","신부8길 21","202607~202806","신규","-","","","아파트"
"11","충청남도 천안시 서북구 쌍용동","1367","1367","0000","월봉청솔1단지","전세","50.1600","202606","19","8,500","0","4","2000","월봉4로 140-9","202607~202807","갱신","-","13,000","0","아파트"
"12","충청남도 보령시 대천동","1520","1520","0000","보령더포레젠아파트","전세","59.9404","202606","19","19,900","0","6","2026","신대동길 40","202607~202806","신규","-","","","아파트"
"13","충청남도 천안시 서북구 두정동","399-1","0399","0001","두정역범양레우스알파","월세","74.9633","202606","19","10,400","23","14","2020","두정공원2길 26","202609~202809","갱신","-","10,400","21","아파트"
"14","충청남도 보령시 명천동","389","0389","0000","명천주공4","월세","49.9700","202606","19","500","52","8","1997","주공로 65","202606~202806","신규","-","","","아파트"
"15","충청남도 천안시 서북구 성거읍 저리","252","0252","0000","저리보금자리","월세","33.4800","202606","19","50","20","3","2000","오송1길 7","202606~202706","신규","-","","","아파트"
"16","충청남도 천안시 서북구 두정동","399-1","0399","0001","두정역범양레우스알파","월세","74.9633","202606","19","10,400","33","20","2020","두정공원2길 26","202609~202809","갱신","-","10,400","31","아파트"
"17","충청남도 천안시 서북구 두정동","399-1","0399","0001","두정역범양레우스알파","월세","59.9857","202606","19","8,800","18","1","2020","두정공원2길 26","202609~202809","갱신","-","8,800","17","아파트"
"18","충청남도 천안시 서북구 쌍용동","1914","1914","0000","주공9","전세","59.7100","202606","19","13,200","0","3","1998","봉서산샛길 65","202607~202807","갱신","사용","13,850","0","아파트"
"19","충청남도 천안시 서북구 두정동","399-1","0399","0001","두정역범양레우스알파","월세","59.9857","202606","19","7,200","31","14","2020","두정공원2길 26","202609~202809","갱신","-","7,200","30","아파트"
"20","충청남도 천안시 서북구 쌍용동","1561","1561","0000","월봉청솔2차","전세","48.4500","202606","19","11,000","0","3","2000","월봉7길 77","202607~202807","갱신","-","11,000","0","아파트"
"21","충청남도 천안시 서북구 쌍용동","1547","1547","0000","월봉일성5","전세","59.9900","202606","19","15,000","0","7","1999","월봉4로 120-16","202608~202808","신규","-","","","아파트"
"22","충청남도 천안시 동남구 용곡동","571","0571","0000","용곡1차세광엔리치타워","전세","103.0976","202606","19","20,000","0","7","2005","풍세로 801-23","202606~202806","신규","-","","","아파트"
"23","충청남도 홍성군 홍북읍 신경리","1373","1373","0000","가람마을엘에이치1단지","월세","46.6400","202606","19","4,216","20","18","2023","홍예로 164","202608~202807","갱신","-","2,929","27","아파트"
"24","충청남도 아산시 음봉면 산동리","1066","1066","0000","아산한라비발디스마트밸리","전세","75.7226","202606","19","29,000","0","23","2023","산동희망로 40","-","-","-","","","아파트"
"25","충청남도 아산시 탕정면 호산리","497","0497","0000","홍익","월세","39.1500","202606","19","400","35","15","1999","선문로 385","202606~202706","신규","-","","","아파트"
"26","충청남도 아산시 탕정면 매곡리","1386","1386","0000","신영한들물빛도시지웰시티센트럴푸르지오2단지","전세","84.7160","202606","19","50,000","0","8","2022","한들물빛도시로 70","202609~202809","신규","-","","","아파트"
"27","충청남도 홍성군 홍북읍 신경리","1373","1373","0000","가람마을엘에이치1단지","월세","29.9200","202606","19","1,311","15","6","2023","홍예로 164","202608~202807","갱신","-","1,079","16","아파트"
"28","충청남도 홍성군 홍북읍 신경리","1373","1373","0000","가람마을엘에이치1단지","월세","37.5600","202606","19","3,928","9","14","2023","홍예로 164","202608~202807","갱신","-","1,872","20","아파트"
"29","충청남도 서산시 성연면 일람리","1134","1134","0000","서산테크노밸리예다음아파트","월세","66.9260","202606","19","14,900","6","7","2023","성연4로 10","202608~203008","신규","-","","","아파트"
"30","충청남도 천안시 동남구 목천읍 서리","73-1","0073","0001","재동타워","월세","59.6200","202606","19","500","40","4","1995","서리1길 19-12","202607~202807","신규","-","","","아파트"
"31","충청남도 홍성군 홍북읍 신경리","1373","1373","0000","가람마을엘에이치1단지","월세","37.7000","202606","19","3,935","9","9","2023","홍예로 164","202608~202807","갱신","-","1,878","21","아파트"
"32","충청남도 예산군 삽교읍 목리","884","0884","0000","내포신도시중흥S-클래스더시티","월세","73.9822","202606","18","2,000","75","18","2024","청사로 250","202607~202707","신규","-","","","아파트"
"33","충청남도 계룡시 엄사면 유동리","460","0460","0000","블루힐스","월세","131.5685","202606","18","6,000","75","5","2012","계백로 3051","202607~202807","신규","-","","","아파트"
"34","충청남도 아산시 배방읍 세교리","1606","1606","0000","아산배방9단지","월세","36.8100","202606","18","5,844","12","26","2023","동방로 219","202607~202806","갱신","-","3,276","18","아파트"
"35","충청남도 아산시 배방읍 세교리","1592","1592","0000","아산배방LH15단지","월세","26.5000","202606","18","2,510","8","23","2022","동방로 114","202608~202807","갱신","-","981","16","아파트"
"36","충청남도 아산시 배방읍 세교리","1521","1521","0000","아산탕정LH7단지","월세","29.3100","202606","18","2,785","7","13","2021","세교길 13","202607~202806","갱신","-","1,054","15","아파트"
"37","충청남도 아산시 배방읍 세교리","424-9","0424","0009","신라","월세","49.6800","202606","18","500","40","14","1997","온천대로 2358","202607~202707","신규","-","","","아파트"
"38","충청남도 아산시 신창면 남성리","852","0852","0000","아산삼부르네상스더힐","월세","83.8805","202606","18","2,000","85","18","2024","천우물로 22","202608~202708","신규","-","","","아파트"
"39","충청남도 서산시 대산읍 영탑리","596","0596","0000","풍림","월세","59.8500","202606","18","500","40","2","1993","충의로 1839-7","202607~202807","신규","-","","","아파트"
"40","충청남도 서산시 성연면 일람리","1077","1077","0000","서산금호어울림에듀퍼스트","전세","74.9853","202606","18","16,000","0","6","2019","성연5로 92-7","202606~202806","신규","-","","","아파트"
